Name,Date,Location,Type,Region,Weather
Alejandro Fernandez,5/10/2025,WaMu Theater,Music,Pioneer Square,"Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind 1 to 8 mph."
Artists’ Talk: Urban Sketchers Bainbridge,5/10/2025,Bainbridge Island Museum of Art,Museums,West,"Mostly cloudy. High near 64, with temperatures falling to around 62 in the afternoon. South wind 2 to 7 mph."
Festal: Spirit of Africa,5/10/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind 2 to 7 mph."
Golden West,5/10/2025,The Royal Room,Music,South Seattle,"Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind 1 to 8 mph."
Kaivon,5/10/2025,The Showbox,Music,Downtown,"Mostly cloudy. High near 64, with temperatures falling to around 62 in the afternoon. South southwest wind 2 to 8 mph."
Mayday Parade,5/10/2025,Showbox SoDo,Music,Pioneer Square,"Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind 1 to 8 mph."
MURS with Platinum Max,5/10/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly cloudy. High near 64, with temperatures falling to around 62 in the afternoon. South wind 1 to 7 mph."
Nekrogoblikon,5/10/2025,El Corazon,Music,Downtown,"Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind 2 to 9 mph."
Old Coast,5/10/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind 2 to 7 mph."
Philharmonia Northwest,5/10/2025,Town Hall Seattle,Music,Downtown,"Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind 2 to 7 mph."
Sarah Schulman,5/10/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly cloudy. High near 66, with temperatures falling to around 64 in the afternoon. South wind 1 to 6 mph."
The Jesus Lizard,5/10/2025,The Neptune Theatre,Music,University District,"Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind 2 to 7 mph."
The Paul Green Jazz – Blues Quartet,5/10/2025,The Royal Room,Music,South Seattle,"Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South wind 1 to 6 mph."
Alison Moyet,5/11/2025,The Showbox,Music,Downtown,"A chance of rain showers. Mostly cloudy. High near 61, with temperatures falling to around 59 in the afternoon. South southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Fern Spores,5/11/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind around 7 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Rebecca Solnit,5/11/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers. Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind 3 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
SiR,5/11/2025,Showbox SoDo,Music,Pioneer Square,"A chance of rain showers. Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind around 7 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Corbin,5/12/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 63. West southwest wind around 5 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
