Name,Date,Location,Type,Region,Weather
Big Mountain,6/23/2024,High Dive,Music,Fremont / Ballard,"A slight chance of rain showers before 5pm. Partly sunny, with a high near 68."
Cowboy Bebop Live,6/23/2024,Neumos,Music,Capitol Hill / Central District,"A slight chance of rain showers before 11am. Partly sunny, with a high near 69."
Gorgatron,6/23/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain showers. Partly sunny, with a high near 67."
Jazz Police,6/23/2024,The Royal Room,Music,South Seattle,"A slight chance of rain showers. Partly sunny, with a high near 69."
Jesse Dayton,6/23/2024,Nectar Lounge,Music,Fremont / Ballard,"A slight chance of rain showers before 5pm. Partly sunny, with a high near 67."
Joh Chase,6/23/2024,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 5pm. Partly sunny, with a high near 70."
Juana Molina,6/23/2024,The Triple Door,Music,Downtown,"A slight chance of rain showers before 5pm. Partly sunny, with a high near 69."
Relive The Music – 50s and 60s Show,6/23/2024,The Neptune Theatre,Music,University District,"A slight chance of rain showers before 5pm. Partly sunny, with a high near 69."
Seattle Reign FC vs. Racing Louisville FC,6/23/2024,Lumen Field,Sports,Pioneer Square,"A slight chance of rain showers before 5pm. Partly sunny, with a high near 69."
Seattle Storm vs. Connecticut Sun,6/23/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A slight chance of rain showers. Partly sunny, with a high near 68."
