Name,Date,Location,Type,Region,Weather
Candlelight Concert – Best of Joe Hisaishi,3/31/2025,Town Hall Seattle,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 55. South southwest wind around 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Candlelight Concert – Fleetwood Mac on Strings,3/31/2025,Town Hall Seattle,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 55. South southwest wind around 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Derek Thompson,3/31/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers. Partly sunny. High near 54, with temperatures falling to around 52 in the afternoon. South southwest wind 7 to 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Movements with Citizen,3/31/2025,The Paramount Theatre,Music,Downtown,"A chance of rain showers. Partly sunny. High near 54, with temperatures falling to around 52 in the afternoon. South southwest wind 7 to 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
OsamaSon,3/31/2025,The Showbox,Music,Downtown,"A chance of rain showers. Partly sunny. High near 55, with temperatures falling to around 53 in the afternoon. South southwest wind around 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Songwriters Round,3/31/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 55. South southwest wind around 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Annie DiRusso,4/1/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 54. South southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Daryl Gregory with Matt Dinniman,4/1/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 54. South southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Gunhild Carling,4/1/2025,The Triple Door,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 53. Southwest wind around 3 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Joe Doria Presents,4/1/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Mostly cloudy, with a high near 54. South southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
