Name,Date,Location,Type,Region,Weather
Adam Lee,10/30/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain after 8am. Cloudy. High near 50, with temperatures falling to around 48 in the afternoon. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Black Bird Collective,10/30/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain after 8am. Cloudy. High near 50, with temperatures falling to around 48 in the afternoon. South southeast wind 7 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Deerlady,10/30/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain after 8am. Cloudy. High near 50, with temperatures falling to around 48 in the afternoon. South southeast wind 7 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Deerlady,10/30/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain after 8am. Cloudy. High near 49, with temperatures falling to around 47 in the afternoon. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
EKOH,10/30/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain after 9am. Cloudy. High near 51, with temperatures falling to around 49 in the afternoon. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Jessica Ackerley Trio,10/30/2024,The Royal Room,Music,South Seattle,"Rain after 9am. Cloudy. High near 51, with temperatures falling to around 49 in the afternoon. South southeast wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
KIRE,10/30/2024,Barboza,Music,Capitol Hill / Central District,"Rain after 8am. Cloudy, with a high near 50. South southeast wind 6 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Modest Mouse,10/30/2024,The Paramount Theatre,Music,Downtown,"Rain after 8am. Cloudy, with a high near 50. South southeast wind 6 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Science in the City: The Ethical Vampire,10/30/2024,Pacific Science Center,Museums,Queen Anne / Seattle Center,"Rain after 9am. Cloudy. High near 51, with temperatures falling to around 49 in the afternoon. South southeast wind around 6 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Sharon McMahon,10/30/2024,The Neptune Theatre,Readings & Lectures,University District,"Rain after 8am. Cloudy, with a high near 50. South southeast wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Sofi Tukker The Bread Tour,10/30/2024,WaMu Theater,Music,Pioneer Square,"Rain after 8am. Cloudy, with a high near 50. South southeast wind 6 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Animals As Leaders,10/31/2024,The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 52. East wind 3 to 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Cumbia de Muertos 3,10/31/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 51. East northeast wind 3 to 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Cumbia de Muertos 3,10/31/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. East northeast wind around 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Giggly Squad,10/31/2024,The Paramount Theatre,Theatre,Downtown,"Rain likely. Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. East northeast wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
La Dona,10/31/2024,Barboza,Music,Capitol Hill / Central District,"Rain likely. Mostly cloudy. High near 51, with temperatures falling to around 49 in the afternoon. East wind around 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
