Name,Date,Location,Type,Region,Weather
Buffalo Farm,11/1/2025,Funhouse,Music,Capitol Hill / Central District,"Rain before 11am, then rain showers. Mostly cloudy. High near 60, with temperatures falling to around 54 in the afternoon. South southwest wind 10 to 21 mph, with gusts as high as 36 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
C. S. Lewis The Screwtape Letters,11/1/2025,The Moore Theatre,Theatre,Downtown,"Rain before 11am, then rain showers. Mostly cloudy. High near 60, with temperatures falling to around 54 in the afternoon. South southwest wind 8 to 21 mph, with gusts as high as 37 mph. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Cumbia de Muertos IV,11/1/2025,Tractor Tavern,Music,Fremont / Ballard,"Rain before 11am, then rain showers. Mostly cloudy. High near 60, with temperatures falling to around 54 in the afternoon. South southwest wind 10 to 21 mph, with gusts as high as 36 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Día de los Muertos Community Celebrations 2025,11/1/2025,Bainbridge Island Museum of Art,Museums,West,"Rain before 11am, then rain showers. Mostly cloudy. High near 60, with temperatures falling to around 54 in the afternoon. South southwest wind 10 to 21 mph, with gusts as high as 36 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Diggy Graves,11/1/2025,The Showbox,Music,Downtown,"Rain. Cloudy. Low around 51, with temperatures rising to around 54 overnight. South southeast wind 9 to 13 mph. Chance of precipitation is 100%. New rainfall amounts between 1 and 2 inches possible."
Florry,11/1/2025,Barboza,Music,Capitol Hill / Central District,"Rain before 11am, then rain showers. Mostly cloudy. High near 60, with temperatures falling to around 54 in the afternoon. South southwest wind 10 to 21 mph, with gusts as high as 36 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Jimmy O. Yang,11/1/2025,The Paramount Theatre,Theatre,Downtown,"Rain. Cloudy. Low around 51, with temperatures rising to around 54 overnight. South southeast wind 9 to 13 mph. Chance of precipitation is 100%. New rainfall amounts between 1 and 2 inches possible."
John Freeman with Rick Simonson,11/1/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain. Cloudy. Low around 51, with temperatures rising to around 54 overnight. South southeast wind around 15 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Seattle Kraken vs. New York Rangers,11/1/2025,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain before 11am, then rain showers. Mostly cloudy. High near 60, with temperatures falling to around 54 in the afternoon. South southwest wind 10 to 21 mph, with gusts as high as 36 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Ariel Posen,11/2/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers before 10am. Mostly sunny. High near 54, with temperatures falling to around 51 in the afternoon. South wind 2 to 7 mph. Chance of precipitation is 40%."
Claudio Simonetti’s Goblin,11/2/2025,El Corazon,Music,Downtown,"A chance of rain showers before 10am. Mostly sunny. High near 55, with temperatures falling to around 53 in the afternoon. South wind 2 to 7 mph. Chance of precipitation is 40%."
Dijon,11/2/2025,The Paramount Theatre,Music,Downtown,"A chance of rain showers before 10am. Mostly sunny, with a high near 55. South wind 2 to 7 mph. Chance of precipitation is 40%."
Haute & Freddy,11/2/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers before 10am. Mostly sunny. High near 55, with temperatures falling to around 53 in the afternoon. South wind 2 to 7 mph. Chance of precipitation is 40%."
Shintaro Sakamoto,11/2/2025,The Showbox,Music,Downtown,"A chance of rain showers before 10am. Mostly sunny. High near 55, with temperatures falling to around 52 in the afternoon. South wind 3 to 7 mph. Chance of precipitation is 40%."
The Dream Syndicate,11/2/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers before 10am. Mostly sunny, with a high near 55. South wind 2 to 7 mph. Chance of precipitation is 40%."
After,11/3/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 54. East northeast wind around 5 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Arc Flash,11/3/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 52. East northeast wind around 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Bands Don’t Cry,11/3/2025,Hidden Hall,Music,Fremont,"A chance of rain. Mostly cloudy, with a high near 53. East wind around 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Lael Neale,11/3/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 53. East northeast wind around 5 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Lukas Nelson – The American Romance Tour,11/3/2025,The Moore Theatre,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 53. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Chicago Blackhawks,11/3/2025,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain. Mostly cloudy, with a high near 54. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Victoria Rachel Runya Katz and Ava Wilder,11/3/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 54. East northeast wind around 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Yukiko Matsuyama and Koto Jazz,11/3/2025,The Royal Room,Music,South Seattle,"A chance of rain. Mostly cloudy, with a high near 53. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
A Conversation with Kamala Harris,11/4/2025,Benaroya Hall,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 57."
Dallas Burrow,11/4/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 58."
Ed Yong,11/4/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 58."
Sofia Goodman Trio and Alex Dugdale,11/4/2025,The Royal Room,Music,South Seattle,"A chance of rain. Mostly cloudy, with a high near 57."
The Faint,11/4/2025,The Showbox,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 58."
