Name,Date,Location,Type,Region,Weather
bloococoon,8/28/2025,The Triple Door,Music,Downtown,"A chance of rain showers before 11am. Mostly sunny, with a high near 78. Northwest wind 2 to 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Dylan Hayes Band,8/28/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A slight chance of rain showers before 11am. Mostly sunny, with a high near 76. North wind 2 to 7 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Ember Mist,8/28/2025,Sunset Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 11am. Mostly sunny, with a high near 79. West southwest wind 2 to 6 mph. Chance of precipitation is 20%."
Golden Hart,8/28/2025,The Royal Room,Music,South Seattle,"A slight chance of rain showers before 11am. Mostly sunny, with a high near 75. Northwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Ice Cream Cult,8/28/2025,Hidden Hall,Music,Fremont / Ballard,"A chance of rain showers before 11am. Mostly sunny, with a high near 78. Northwest wind 2 to 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Mipso,8/28/2025,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 11am. Mostly sunny, with a high near 77. Northwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Summer Sounds on the Terrace with Eva Walker,8/28/2025,Museum of History & Industry,Music,Queen Anne / Seattle Center,"A chance of rain showers before 11am. Mostly sunny, with a high near 78. Northwest wind 2 to 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Tarik Abouzied,8/28/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A slight chance of rain showers before 11am. Mostly sunny, with a high near 77. Northwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
2000’s Night,8/29/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 79. West wind 1 to 5 mph."
Ben Jones and Laurence Hobgood,8/29/2025,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 80. Northwest wind 1 to 6 mph."
Carl Christensen & The Lake Flora Band,8/29/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 78. North northwest wind 1 to 6 mph."
Rae Isla,8/29/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 79. West southwest wind 1 to 5 mph."
Scatterbox,8/29/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 81. North northwest wind 1 to 5 mph."
Super Krewe,8/29/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 81. West southwest wind 1 to 5 mph."
WesGhost,8/29/2025,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 78. West wind 1 to 5 mph."
A Sabrina Carpenter Night,8/30/2025,Hidden Hall,Music,Fremont / Ballard,"A slight chance of rain after 5pm. Mostly sunny, with a high near 79. Southwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
All Hype,8/30/2025,El Corazon,Music,Downtown,"A slight chance of rain after 5pm. Mostly sunny, with a high near 79. Southwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Barroom Blitz,8/30/2025,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain after 5pm. Partly sunny, with a high near 80. Southwest wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Bop To The Top,8/30/2025,The Crocodile,Music,Downtown,"A slight chance of rain after 5pm. Mostly sunny, with a high near 80. Southwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Carlos Cascante and Tumbao,8/30/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A slight chance of rain after 5pm. Mostly sunny, with a high near 81. Southwest wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Matisyahu,8/30/2025,The Neptune Theatre,Music,University District,"A slight chance of rain after 5pm. Partly sunny, with a high near 78. Southwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Southern Avenue,8/30/2025,The Triple Door,Music,Downtown,"A slight chance of rain after 5pm. Partly sunny, with a high near 81. Southwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Staycation Fest,8/30/2025,The Royal Room,Music,South Seattle,"A slight chance of rain after 5pm. Partly sunny, with a high near 78. Southwest wind 2 to 6 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
The 8-Bit Big Band,8/30/2025,The Moore Theatre,Music,Downtown,"A slight chance of rain after 5pm. Partly sunny, with a high near 80. Southwest wind 3 to 7 mph. Chance of precipitation is 20%."
BabyTron,8/31/2025,Showbox SoDo,Music,Pioneer Square,"A slight chance of rain before 11am. Partly sunny, with a high near 76."
Reverse Death,8/31/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 77."
Teddy Swims,8/31/2025,WaMu Theater,Music,Pioneer Square,"A slight chance of rain before 11am. Partly sunny, with a high near 77."
Will Hoge,8/31/2025,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of rain before 11am. Partly sunny, with a high near 78."
Attack Attack,9/2/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 80."
Bloody Pineapples,9/2/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 79."
EXTC – XTC’s Terry Chambers and Friends,9/2/2025,The Triple Door,Music,Downtown,"Sunny, with a high near 81."
Henry Morris,9/2/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 80."
N.Flying,9/2/2025,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 81."
The 350s,9/2/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 81."
Blowout Heavies Brass Band,9/3/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 83."
Blues Beatles,9/3/2025,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 80."
Coyote Island,9/3/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 82."
