Name,Date,Location,Type,Region,Weather
Bay Ledges,8/20/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 72. South southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Caro De Robertis with Elaine U. Cho,8/20/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain showers likely before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 72. South southwest wind 6 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Junior Brown,8/20/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain showers likely before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 72. South southwest wind 6 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
OMA and Shing02,8/20/2024,The Crocodile,Music,Downtown,"Rain showers likely before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 70. South southwest wind 6 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Ruston Way,8/20/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 72. South southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Sinead Harnett,8/20/2024,Neumos,Music,Capitol Hill / Central District,"Rain showers likely before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 69. South southwest wind 6 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Sunny Day Real Estate,8/20/2024,The Showbox,Music,Downtown,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 73. South southwest wind around 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
The Harlem Gospel Travelers,8/20/2024,The Royal Room,Music,South Seattle,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 72. South southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
The Palms,8/20/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 72. South southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
The Pentagram String Band,8/20/2024,Funhouse,Music,Capitol Hill / Central District,"Rain showers likely before 2pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 69. South southwest wind 6 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
$not,8/21/2024,Showbox SoDo,Music,Pioneer Square,"Rain showers likely before 5pm, then showers and thunderstorms. Mostly cloudy. High near 70, with temperatures falling to around 68 in the afternoon. South southwest wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Caloncho,8/21/2024,Neumos,Music,Capitol Hill / Central District,"Rain showers before 5pm, then showers and thunderstorms. Cloudy. High near 70, with temperatures falling to around 68 in the afternoon. South southwest wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Crooked Path,8/21/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain showers before 5pm, then showers and thunderstorms. Cloudy. High near 70, with temperatures falling to around 68 in the afternoon. South wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Dub Lounge International,8/21/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain showers before 5pm, then showers and thunderstorms. Cloudy. High near 70, with temperatures falling to around 68 in the afternoon. South wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Elle King,8/21/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,"Rain showers before 5pm, then showers and thunderstorms. Cloudy, with a high near 68. South southwest wind 7 to 12 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Moon Organ,8/21/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain showers before 5pm, then showers and thunderstorms. Cloudy. High near 67, with temperatures falling to around 65 in the afternoon. South southwest wind 7 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Pahua,8/21/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain showers before 5pm, then showers and thunderstorms. Cloudy. High near 67, with temperatures falling to around 65 in the afternoon. South southwest wind 7 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
The Jauntee,8/21/2024,High Dive,Music,Fremont / Ballard,"Rain showers likely before 5pm, then showers and thunderstorms. Mostly cloudy. High near 70, with temperatures falling to around 68 in the afternoon. South southwest wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
The Orion Experience,8/21/2024,Funhouse,Music,Capitol Hill / Central District,"Rain showers likely before 5pm, then showers and thunderstorms. Cloudy, with a high near 67. South southwest wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Too Slim and the Taildraggers,8/21/2024,The Triple Door,Music,Downtown,"Rain showers before 5pm, then showers and thunderstorms. Cloudy. High near 70, with temperatures falling to around 68 in the afternoon. South southwest wind 6 to 10 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Eclectrick,8/22/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Fu Manchu,8/22/2024,The Crocodile,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 68. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
"Game, Set Party",8/22/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 2 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Jonny Tobin,8/22/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Nate Silver,8/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 68. North wind 3 to 8 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Nordics in Hollywood: The Hunger Games 2012,8/22/2024,National Nordic Museum,Film & Media Arts,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 69. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Summer Nights with Shaina Shepherd,8/22/2024,Museum of History & Industry,Music,Queen Anne / Seattle Center,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
The Aristocrats,8/22/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 68. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Them Coulee Boys,8/22/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 68. North wind 3 to 8 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Twen,8/22/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Twenty One Pilots,8/22/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Vice Versa,8/22/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 70. North wind 3 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Africa Violeta,8/23/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
Chayanne,8/23/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"A chance of rain showers. Partly sunny, with a high near 69. Chance of precipitation is 50%."
Epik High,8/23/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
Grunge Night,8/23/2024,The Crocodile,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 69. Chance of precipitation is 50%."
Haunt and Savage Master,8/23/2024,El Corazon,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 71. Chance of precipitation is 50%."
Joe Casalini Trio,8/23/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
Kellan.,8/23/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 68. Chance of precipitation is 50%."
McTUFF,8/23/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 71. Chance of precipitation is 50%."
Mikey High Life Band,8/23/2024,Slim's Last Chance,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
Movies at The Mural – The Color Purple (Musical),8/23/2024,Seattle Center Mural Amphitheatre,Film & Media Arts,Queen Anne / Seattle Center,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
Reals & Seal,8/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
SAM Remix,8/23/2024,Olympic Sculpture Park,Museums,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 71. Chance of precipitation is 50%."
Scree-Run Waltz: Celebrating Wally Shoup,8/23/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
The Hip Abduction and Satsang,8/23/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
The Shivas,8/23/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 70. Chance of precipitation is 50%."
$uicide Boy$,8/24/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"A chance of rain showers. Mostly cloudy, with a high near 66."
Bella Kim: Jogakbo Journey,8/24/2024,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Mostly cloudy, with a high near 68."
Bella White,8/24/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 68."
Chloe Troast,8/24/2024,The Crocodile,Theatre,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 69."
Layne Staley Tribute 2024,8/24/2024,The Neptune Theatre,Music,University District,"A chance of rain showers. Mostly cloudy, with a high near 69."
