Name,Date,Location,Type,Region,Weather
Faun,6/28/2025,The Neptune Theatre,Music,University District,"Partly sunny, with a high near 72. North wind 0 to 6 mph."
Festal: Seattle Iranian Festival,6/28/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Partly sunny, with a high near 72. Northwest wind 1 to 6 mph."
Gobble Up SLU,6/28/2025,Lake Union Park,Festivals & Special Events,Downtown,"A slight chance of rain between 4am and 5am. Cloudy, with a low around 57. South southwest wind around 2 mph. Chance of precipitation is 20%."
Lisa Jewell with Andrea Dunlop,6/28/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 70. Northwest wind 0 to 6 mph."
Paris Chansons,6/28/2025,The Triple Door,Music,Downtown,"Partly sunny, with a high near 70. North northwest wind 1 to 6 mph."
The Egor and The Red Elvises,6/28/2025,Hidden Hall,Music,Fremont / Ballard,"Partly sunny, with a high near 70. Northwest wind 0 to 6 mph."
Toast – The Ultimate Bread Experience,6/28/2025,The Moore Theatre,Music,Downtown,"Partly sunny, with a high near 72. North wind 0 to 6 mph."
Wu-Tang Forever,6/28/2025,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Partly sunny, with a high near 70. Northwest wind 0 to 6 mph."
City of Pines,6/29/2025,Hidden Hall,Music,Fremont / Ballard,"Sunny, with a high near 76. North wind 3 to 10 mph."
Creeping Death,6/29/2025,El Corazon,Music,Downtown,"Sunny, with a high near 77. North wind 2 to 9 mph."
Gaurav Gupta Live,6/29/2025,The Neptune Theatre,Theatre,University District,"Sunny, with a high near 77. North wind 3 to 10 mph."
Megan Greenwell,6/29/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 74. North wind 3 to 12 mph."
The Adicts,6/29/2025,The Showbox,Music,Downtown,"Sunny, with a high near 77. North wind 3 to 10 mph."
Wavves,6/29/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 77. North wind 3 to 10 mph."
Lise Olsen with Lewis Kamb,6/30/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 81."
Low Cut Connie,7/1/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 81."
The 350’s,7/1/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 81."
Blowout Heavies Brass Band,7/2/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 77."
Derek Gripper,7/2/2025,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 74."
EKKSTACY,7/2/2025,The Showbox,Music,Downtown,"Mostly sunny, with a high near 74."
Fox Catalyst,7/2/2025,Hidden Hall,Music,Fremont / Ballard,"Mostly sunny, with a high near 74."
Jillith Fair – Loving Jill Sobule,7/2/2025,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 75."
John Garcia,7/2/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 76."
Canadian Covers Night,7/3/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 75."
Celestrial Navigation,7/3/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 75."
DJ Prince,7/3/2025,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 75."
Marmalade,7/3/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 76."
Tlalokan | Spotlight at Waterfront Park,7/3/2025,Waterfront Park,Dance,Downtown,"Mostly sunny, with a high near 75."
Taytonic,7/4/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 76."
You Deserve The WORLDS,7/4/2025,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 74."
