Name,Date,Location,Type,Region,Weather
An Evening with Steve Poltz,1/29/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly cloudy. Low around 32, with temperatures rising to around 34 overnight. Southeast wind around 1 mph."
Big Kitty,1/29/2025,Nectar Lounge,Music,Fremont / Ballard,"Partly cloudy. Low around 33, with temperatures rising to around 35 overnight. Southeast wind around 2 mph."
Bryce Vine,1/29/2025,The Showbox,Music,Downtown,"Mostly cloudy, with a low around 32. Southeast wind around 2 mph."
New Lore,1/29/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly cloudy, with a low around 32. Southeast wind around 2 mph."
Queering Talks,1/29/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Partly cloudy, with a low around 32. Southeast wind around 2 mph."
Candlelight Concert,1/30/2025,Town Hall Seattle,Music,Downtown,"Rain after 10am. Mostly cloudy, with a high near 44. South southeast wind around 7 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Catching Flies,1/30/2025,Nectar Lounge,Music,Fremont / Ballard,"Rain likely after 10am. Mostly cloudy, with a high near 45. South southeast wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Judge John Hodgman,1/30/2025,The Neptune Theatre,Theatre,University District,"Rain after 10am. Mostly cloudy, with a high near 44. South southeast wind around 6 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Lou Deezi,1/30/2025,The Crocodile,Music,Downtown,"Rain after 10am. Mostly cloudy, with a high near 45. South southeast wind 3 to 7 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Mary Eliza,1/30/2025,Tractor Tavern,Music,Fremont / Ballard,"Rain likely after 10am. Mostly cloudy, with a high near 44. South wind around 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Max McNown,1/30/2025,Neumos,Music,Capitol Hill / Central District,"Rain likely after 10am. Mostly cloudy, with a high near 45. South southeast wind around 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Music From The Sole,1/30/2025,The Moore Theatre,Music,Downtown,"Rain after 10am. Mostly cloudy, with a high near 44. South southeast wind 5 to 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
The Low Lonesome Sound,1/30/2025,Sunset Tavern,Music,Fremont / Ballard,"Rain after 10am. Mostly cloudy, with a high near 44. South southeast wind around 7 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
YellaCatt,1/30/2025,High Dive,Music,Fremont / Ballard,"Rain after 10am. Mostly cloudy, with a high near 44. South southeast wind around 7 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
AMTRAC,1/31/2025,Nectar Lounge,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Blowout Heavies Brass Band Jam,1/31/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Dopethrone,1/31/2025,El Corazon,Music,Downtown,"Rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Emanuel Brown,1/31/2025,High Dive,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
