Name,Date,Location,Type,Region,Weather
Vesuvian,6/16/2024,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of showers and thunderstorms between 11am and noon, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West southwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
ZooTunes: Mother Mother/Cavetown,6/16/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West southwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Brody Schenk,6/17/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 64. South wind around 6 mph. Chance of precipitation is 20%."
Madaraka Festival,6/17/2024,The Neptune Theatre,Music,University District,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 64. South wind 3 to 7 mph. Chance of precipitation is 20%."
Rae,6/17/2024,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 62. South wind 3 to 7 mph. Chance of precipitation is 20%."
Rena Priest – Writing as Refuge,6/17/2024,Bainbridge Island Museum of Art,Museums,West,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 63. South wind 3 to 7 mph. Chance of precipitation is 20%."
Ryan Stradal,6/17/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 63. South wind 3 to 7 mph. Chance of precipitation is 20%."
Say Anything,6/17/2024,Showbox SoDo,Music,Pioneer Square,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 63. South wind around 7 mph. Chance of precipitation is 20%."
Semisoft,6/17/2024,Sunset Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 11am. Mostly cloudy, with a high near 63. South wind around 6 mph. Chance of precipitation is 20%."
Artillery,6/18/2024,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 68. West northwest wind 2 to 7 mph."
Bands for Boats,6/18/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 68. West wind 2 to 7 mph."
Boulet Brothers’ Dragula: Season 5 Tour,6/18/2024,The Moore Theatre,Theatre,Downtown,"Mostly sunny, with a high near 67. West wind 3 to 7 mph."
Every Outfit Podcast,6/18/2024,The Triple Door,Theatre,Downtown,"Mostly sunny, with a high near 68. West northwest wind 1 to 7 mph."
Foleada,6/18/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 67. West wind 3 to 7 mph."
From Mendelssohn to Milhaud,6/18/2024,Benaroya Hall,Music,Downtown,"Mostly sunny, with a high near 68. West wind 2 to 7 mph."
Khushbu Shah with Lauren Ko,6/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 68. West wind 2 to 7 mph."
Lucy,6/18/2024,El Corazon,Music,Downtown,"Mostly sunny, with a high near 68. West wind 2 to 7 mph."
Mystery Skulls,6/18/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 67. West northwest wind 2 to 9 mph."
Quintron and Miss Pussycat,6/18/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 67. West wind 3 to 7 mph."
Allie X,6/19/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 73."
Born of Ghosts,6/19/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 73."
Christopher Paul Stelling,6/19/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 75."
Dollar Signs,6/19/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 74."
Dub Lounge International,6/19/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 76."
Juneteenth: The Music of Tina Turner,6/19/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 75."
Lowe Cellar,6/19/2024,Chop Suey,Music,Capitol Hill / Central District,"Sunny, with a high near 75."
Micky and The Motorcars,6/19/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 75."
Sid Simons and The Darlings,6/19/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 73."
Songs of Saudade,6/19/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 75."
Bela Delgado,6/20/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 80."
Chicano Batman,6/20/2024,The Moore Theatre,Music,Downtown,"Mostly sunny, with a high near 79."
Glen Teriyaki,6/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 81."
Hear Me Talkin’ to You: Womxn and Blues,6/20/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 80."
Iron and Wine,6/20/2024,The Paramount Theatre,Music,Downtown,"Mostly sunny, with a high near 79."
Jam,6/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 77."
King Sheim,6/20/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 80."
Maggie Gently,6/20/2024,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 78."
Maya Marie,6/20/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 77."
Mike Sherm,6/20/2024,The Showbox,Music,Downtown,"Mostly sunny, with a high near 77."
Reality Gays,6/20/2024,The Triple Door,Theatre,Downtown,"Mostly sunny, with a high near 79."
Toarn,6/20/2024,El Corazon,Music,Downtown,"Mostly sunny, with a high near 78."
"Trembling Vistas, Primal Youth: William H. Johnson’s Painterly Expressionism",6/20/2024,National Nordic Museum,Museums,Fremont / Ballard,"Mostly sunny, with a high near 79."
Wayne Hancock,6/20/2024,Slim's Last Chance,Music,South Seattle,"Mostly sunny, with a high near 80."
Zach Williams,6/20/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 79."
ZooTunes: Car Seat Headrest,6/20/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 80."
Cherry Ferrari,6/21/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 77."
Dead Prez,6/21/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 80."
Freddy Fuego,6/21/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 77."
Jordan Davis,6/21/2024,Chateau Ste. Michelle Winery,Music,East,"Mostly sunny, with a high near 79."
Mark Normand,6/21/2024,The Moore Theatre,Theatre,Downtown,"Mostly sunny, with a high near 80."
Northlane,6/21/2024,The Neptune Theatre,Music,University District,"Mostly sunny, with a high near 78."
Perreo Solita,6/21/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 80."
Reposado and Midpak,6/21/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 80."
Roemen and The Whereabouts,6/21/2024,Slim's Last Chance,Music,South Seattle,"Mostly sunny, with a high near 79."
Ronny Chieng,6/21/2024,The Paramount Theatre,Theatre,Downtown,"Mostly sunny, with a high near 78."
The Antlers and Okkervil River,6/21/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 78."
Tikkadoom,6/21/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 77."
Tuomo and Markus Concert,6/21/2024,National Nordic Museum,Music,Fremont / Ballard,"Mostly sunny, with a high near 77."
Yambambo,6/21/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 79."
A Skylit Drive,6/22/2024,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 75."
Adrianne Lenker,6/22/2024,The Paramount Theatre,Music,Downtown,"Mostly sunny, with a high near 73."
Adrienne LaVey: Belle Epoque,6/22/2024,Rendezvous JewelBox Theater,Music,Downtown,"Mostly sunny, with a high near 75."
Andrea Gonzalez Caballero,6/22/2024,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 75."
Aurelio Voltaire,6/22/2024,El Corazon,Music,Downtown,"Mostly sunny, with a high near 74."
Brian Noyes,6/22/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 75."
Cage The Elephant,6/22/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Mostly sunny, with a high near 75."
Danny Godinez and Friends,6/22/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 74."
Eldridge Gravy and the Court Supreme,6/22/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 75."
Festal: Seattle Iranian Festival,6/22/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Mostly sunny, with a high near 74."
Fremont Solstice Celebration,6/22/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 75."
Glenn Cannon and The Damage Done,6/22/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 75."
Inkprov,6/22/2024,Fremont Abbey Arts Center,Theatre,Fremont / Ballard,"Mostly sunny, with a high near 75."
Marc Maron: All In,6/22/2024,The Moore Theatre,Theatre,Downtown,"Mostly sunny, with a high near 73."
Matters of Pride: An Afternoon of Sharing,6/22/2024,Bainbridge Island Museum of Art,Museums,West,"Mostly sunny, with a high near 77."
Michael Carbonaro,6/22/2024,The Neptune Theatre,Theatre,University District,"Mostly sunny, with a high near 75."
Paul Tremblay with Sadie Hartmann,6/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 77."
Petty Thief,6/22/2024,Slim's Last Chance,Music,South Seattle,"Mostly sunny, with a high near 75."
Queer Prom,6/22/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 76."
Seattle Marathon’s Summer Marathon and Kid’s Fun Run,6/22/2024,Seward Park,Sports,South Seattle,"Mostly sunny, with a high near 76."
Seattle Sounders FC vs. Minnesota United FC,6/22/2024,Lumen Field,Sports,Pioneer Square,"Mostly sunny, with a high near 75."
Something United,6/22/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 76."
Spotlight On: Improvisation in Music and Life,6/22/2024,The Royal Room,Theatre,South Seattle,"Mostly sunny, with a high near 76."
Student Nurse and Red Dress,6/22/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 75."
Summer Bonsai Solstice,6/22/2024,Pacific Bonsai Museum,Museums,South,"Mostly sunny, with a high near 75."
SummerFest at the Garden,6/22/2024,Rhododendron Species Botanical Garden,Festivals & Special Events,South,"Mostly sunny, with a high near 75."
