Name,Date,Location,Type,Region,Weather
Bug Hunter,6/16/2024,Nectar Lounge,Music,Fremont / Ballard,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 63. West southwest wind 1 to 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Jonah Hieb: Two Trios,6/16/2024,The Royal Room,Music,South Seattle,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West southwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Kacy Hill,6/16/2024,Barboza,Music,Capitol Hill / Central District,"Mostly cloudy, with a low around 47. South southeast wind around 5 mph."
Om Unit,6/16/2024,High Dive,Music,Fremont / Ballard,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West southwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Renee DiResta,6/16/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West wind 1 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Seattle Reign FC vs. Portland Thorns,6/16/2024,Lumen Field,Sports,Pioneer Square,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West southwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Sham 69,6/16/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 60. West southwest wind 3 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Shawn Mullins,6/16/2024,The Triple Door,Music,Downtown,"A slight chance of showers and thunderstorms between noon and 1pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. West southwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Songs Of Black Folk 2024,6/16/2024,The Paramount Theatre,Music,Downtown,"A chance of showers and thunderstorms after noon. Partly sunny, with a high near 61. West southwest wind 3 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Timothy Robert,6/16/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of showers and thunderstorms after noon. Partly sunny, with a high near 62. West southwest wind 3 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
