Name,Date,Location,Type,Region,Weather
Dining Dead,5/24/2025,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 71. Northwest wind 2 to 6 mph."
Flynt Flossy and Turquoise Jeep,5/24/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 75. West wind around 5 mph."
Los Shadows,5/24/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 74. West wind around 5 mph."
Louyah,5/24/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 74. West northwest wind around 5 mph."
Lyn Lapid,5/24/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 75. West wind around 5 mph."
Rilo Kiley,5/24/2025,Chateau Ste. Michelle Winery,Music,East,"Mostly sunny, with a high near 75. West northwest wind around 5 mph."
The Coffis Brothers,5/24/2025,Slim's Last Chance,Music,South Seattle,"Mostly sunny, with a high near 74. West northwest wind around 5 mph."
Zeds Dead,5/24/2025,WaMu Theater,Music,Pioneer Square,"Mostly sunny, with a high near 74. West northwest wind around 5 mph."
Beach Bunny,5/25/2025,Showbox SoDo,Music,Pioneer Square,"Mostly sunny. High near 72, with temperatures falling to around 70 in the afternoon. South southwest wind 5 to 10 mph."
Mary Lambert and Betsy Olson Band,5/25/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 73. South southwest wind 3 to 8 mph."
Massive Monkees Day,5/25/2025,The Neptune Theatre,Music,University District,"Mostly sunny. High near 70, with temperatures falling to around 68 in the afternoon. South southwest wind 5 to 12 mph."
Mountain Holler and the Western Dawn,5/25/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny. High near 72, with temperatures falling to around 70 in the afternoon. South southwest wind 3 to 9 mph."
Bien,5/26/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers before 5pm. Partly sunny, with a high near 68. Southwest wind 5 to 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
He Films The Clouds,5/26/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers before 5pm. Partly sunny, with a high near 67. Southwest wind 5 to 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Art d’Ecco,5/27/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 71."
Diva Bleach,5/27/2025,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 70."
Dragged Into Sunlight,5/27/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 71."
Khruangbin,5/27/2025,WaMu Theater,Music,Pioneer Square,"Mostly sunny, with a high near 71."
Tabber and Miso and Rad Museum,5/27/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 71."
Widowdusk,5/27/2025,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 69."
Coco Jones,5/28/2025,The Showbox,Music,Downtown,"Sunny, with a high near 81."
Ministry,5/28/2025,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 80."
Rhythm and Flow: Vol 2 with Queen Andrew,5/28/2025,The Triple Door,Theatre,Downtown,"Sunny, with a high near 81."
Dr. Brady’s Oral Fixation Tour,5/29/2025,The Neptune Theatre,Theatre,University District,"A chance of rain showers before 5pm. Partly sunny, with a high near 73."
Good Luck Club,5/29/2025,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain showers before 5pm. Partly sunny, with a high near 75."
Melissa Villasenor,5/29/2025,The Crocodile,Music,Downtown,"A chance of rain showers before 5pm. Partly sunny, with a high near 75."
Oranj Goodman,5/29/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers before 5pm. Partly sunny, with a high near 74."
Rizo,5/29/2025,The Triple Door,Theatre,Downtown,"A chance of rain showers before 5pm. Partly sunny, with a high near 74."
The Kiffness: Vote4Pets Tour,5/29/2025,The Showbox,Music,Downtown,"A chance of rain showers before 5pm. Partly sunny, with a high near 75."
UW Science Now,5/29/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers before 5pm. Partly sunny, with a high near 75."
Brand New,5/30/2025,WaMu Theater,Music,Pioneer Square,"Sunny, with a high near 75."
Goldie Boutilier,5/30/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 75."
Lords of Acid,5/30/2025,El Corazon,Music,Downtown,"Sunny, with a high near 74."
RJD2,5/30/2025,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 75."
The Bouncing Souls,5/30/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 75."
Ty Myers,5/30/2025,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 74."
Warren Dunes in Concert,5/30/2025,Bainbridge Island Museum of Art,Museums,West,"Sunny, with a high near 73."
Zookraught,5/30/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 74."
