Name,Date,Location,Type,Region,Weather
Corbin,5/12/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 63. Southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Jemimah Wei,5/12/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 61. South southwest wind 2 to 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Matthew Lindley,5/12/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 63. South southwest wind 1 to 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Thornhill,5/12/2025,El Corazon,Music,Downtown,"A chance of rain showers before 2pm, then a chance of showers and thunderstorms. Partly sunny, with a high near 62. Southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
An Evening with the Wladigeroff Brothers,5/13/2025,The Royal Room,Music,South Seattle,"Partly sunny. High near 64, with temperatures falling to around 62 in the afternoon. South wind around 7 mph."
Bombargo,5/13/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly cloudy, with a high near 63. South wind around 7 mph."
Gilsons,5/13/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly cloudy, with a high near 65. South wind around 6 mph."
Jonathan Biss Transfiguration,5/13/2025,Meany Center for the Performing Arts,Music,University District,"Mostly cloudy, with a high near 64. South wind around 6 mph."
Magnolia Park,5/13/2025,El Corazon,Music,Downtown,"Mostly cloudy, with a high near 65. South southwest wind around 7 mph."
Sanjena Sathian,5/13/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly cloudy, with a high near 65. South southwest wind around 7 mph."
David Bisbal,5/14/2025,The Neptune Theatre,Music,University District,"Mostly cloudy, with a high near 62. South southwest wind around 8 mph."
ONE OK ROCK,5/14/2025,WaMu Theater,Music,Pioneer Square,"Mostly cloudy, with a high near 61. South southwest wind around 8 mph."
Orla Gartland,5/14/2025,The Showbox,Music,Downtown,"Mostly cloudy, with a high near 61. South southwest wind around 8 mph."
Berlioz,5/15/2025,The Showbox,Music,Downtown,"A chance of rain showers after 11am. Mostly cloudy, with a high near 61. Chance of precipitation is 30%."
Madeline Goldstein,5/15/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers after 11am. Mostly cloudy, with a high near 59. Chance of precipitation is 30%."
Matthew and the Atlas,5/15/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers after 11am. Mostly cloudy, with a high near 60. Chance of precipitation is 30%."
Meet Me at the Movies Spring 2025,5/15/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers after 11am. Mostly cloudy, with a high near 60. Chance of precipitation is 40%."
Phil Cook,5/15/2025,Fremont Abbey Arts Center,Music,Fremont / Ballard,"A chance of rain showers after 5pm. Mostly cloudy, with a high near 61. Chance of precipitation is 30%."
Stephanie Chou,5/15/2025,The Royal Room,Music,South Seattle,"A chance of rain showers after 11am. Mostly cloudy, with a high near 59. Chance of precipitation is 30%."
Subatomic Sound System,5/15/2025,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain showers after 11am. Mostly cloudy, with a high near 60. Chance of precipitation is 30%."
The Fall of Troy,5/15/2025,El Corazon,Music,Downtown,"A chance of rain showers after 11am. Mostly cloudy, with a high near 60. Chance of precipitation is 30%."
Allison Russell,5/16/2025,The Showbox,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 61."
FLO,5/16/2025,Showbox SoDo,Music,Pioneer Square,"A chance of rain showers. Mostly cloudy, with a high near 61."
Ismo – Woo Hoo! World Tour,5/16/2025,The Neptune Theatre,Theatre,University District,"A chance of rain showers. Mostly cloudy, with a high near 61."
Kung Fu Vampire,5/16/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 60."
Melanesian Heritage Night,5/16/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Mostly cloudy, with a high near 60."
Obscura,5/16/2025,El Corazon,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 61."
Pat Thomas with Gary Groth,5/16/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 59."
Son Rompe Pera,5/16/2025,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 60."
Asian Monologues,5/17/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Mostly cloudy, with a high near 62."
DDT Live,5/17/2025,Showbox SoDo,Music,Pioneer Square,"A chance of rain showers. Mostly cloudy, with a high near 61."
Deep Sea Diver,5/17/2025,The Showbox,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 62."
Festal: A Glimpse of China – Seattle Chinese Culture & Arts Festival,5/17/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"A chance of rain showers. Mostly cloudy, with a high near 63."
Hamid Rahmanian’s Song of the North,5/17/2025,Meany Center for the Performing Arts,Theatre,University District,"A chance of rain showers. Mostly cloudy, with a high near 62."
Ling Ling Huang,5/17/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 63."
Matt McCusker Live,5/17/2025,The Neptune Theatre,Music,University District,"A chance of rain showers. Mostly cloudy, with a high near 62."
Neal Francis,5/17/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 62."
NeuroPsychosis,5/17/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 62."
Pedro The Lion,5/17/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 63."
Roberta Flack Tribute Night,5/17/2025,The Royal Room,Music,South Seattle,"A chance of rain showers. Mostly cloudy, with a high near 60."
Seattle’s Son – Tribute to Chris Cornell,5/17/2025,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a high near 62."
WAiKS,5/17/2025,El Corazon,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 61."
Alta Avenue,5/18/2025,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain showers. Partly sunny, with a high near 63."
Indipino/Filipino Family Stories and the 100% Project,5/18/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Partly sunny, with a high near 64."
Juno Birch,5/18/2025,The Neptune Theatre,Music,University District,"A chance of rain showers. Partly sunny, with a high near 62."
The Talbott Brothers,5/18/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 64."
Tony McManus,5/18/2025,The Royal Room,Music,South Seattle,"A slight chance of rain showers. Partly sunny, with a high near 63."
Ziggy Alberts,5/18/2025,The Showbox,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 63."
