Name,Date,Location,Type,Region,Weather
Aidan Canfield,8/4/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 82. Southwest wind around 6 mph."
esperanza spalding,8/4/2024,Benaroya Hall,Dance,Downtown,"Sunny, with a high near 85. Southwest wind 3 to 7 mph."
Los Cafres,8/4/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 85. Southwest wind around 5 mph."
Samiam,8/4/2024,El Corazon,Music,Downtown,"Sunny, with a high near 83. South southwest wind 3 to 8 mph."
Si.inni,8/4/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 85. Southwest wind around 6 mph."
Theo Lawrence,8/4/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 82. Southwest wind around 6 mph."
Homixide Gang,8/5/2024,The Showbox,Music,Downtown,"Sunny. High near 81, with temperatures falling to around 79 in the afternoon. West southwest wind 5 to 8 mph."
Juni Calluna,8/5/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny. High near 84, with temperatures falling to around 82 in the afternoon. West southwest wind around 6 mph."
La Luz,8/5/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny. High near 83, with temperatures falling to around 81 in the afternoon. West southwest wind around 6 mph."
Map of the Woulds,8/5/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny. High near 85, with temperatures falling to around 83 in the afternoon. West southwest wind around 6 mph."
New Music Mondays: Loop-land,8/5/2024,The Royal Room,Music,South Seattle,"Sunny. High near 84, with temperatures falling to around 82 in the afternoon. West southwest wind around 6 mph."
Silent Movie Mondays -Sherlock Jr. 1924 and The Love Nest 1923,8/5/2024,The Paramount Theatre,Music,Downtown,"Sunny. High near 81, with temperatures falling to around 79 in the afternoon. West southwest wind around 7 mph."
Idol Worship,8/6/2024,The Triple Door,Theatre,Downtown,"Mostly sunny, with a high near 78. West southwest wind around 6 mph."
Melissa Carper,8/6/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 76. West southwest wind around 6 mph."
Pimps of Joytime,8/6/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 79. West southwest wind around 7 mph."
Protest the Hero,8/6/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 79. Southwest wind around 6 mph."
The 350’s,8/6/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 77. Southwest wind 5 to 8 mph."
Trash Dick Records,8/6/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 79. Southwest wind around 6 mph."
Ween,8/6/2024,The Paramount Theatre,Music,Downtown,"Mostly sunny, with a high near 79. West southwest wind around 7 mph."
Brijean,8/7/2024,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 81."
Carter Winter,8/7/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 82."
Celestial Navigation,8/7/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 79."
Clinton Fearon,8/7/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 79."
Dain,8/7/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 79."
Danielle Nicole Band,8/7/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 82."
Elisabeth Eaves with Jamie Harrison,8/7/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 79."
Full Metal Cardigan,8/7/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 79."
Romy Presents Club Mid Air,8/7/2024,The Showbox,Music,Downtown,"Sunny, with a high near 84."
Star Anna,8/7/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 82."
The Dead South,8/7/2024,The Paramount Theatre,Music,Downtown,"Sunny, with a high near 82."
Thomas Hinds,8/7/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 82."
Tim Minchin,8/7/2024,The Moore Theatre,Theatre,Downtown,"Sunny, with a high near 81."
AngelMaker,8/8/2024,El Corazon,Music,Downtown,"Sunny, with a high near 85."
Bob Sumner,8/8/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 87."
Critical Mass Big Band,8/8/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 86."
Dweezil Zappa,8/8/2024,The Moore Theatre,Music,Downtown,"Sunny, with a high near 85."
Funky Titanics,8/8/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 83."
Jammah,8/8/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 85."
KR3TURE,8/8/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,"Sunny, with a high near 82."
Minor Gold,8/8/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 82."
