Name,Date,Location,Type,Region,Weather
Amanda Winterhalter Band,7/7/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 89. North northwest wind 3 to 7 mph."
False Sense of Security,7/7/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 90. North northwest wind 2 to 7 mph."
Garth Risk Hallberg,7/7/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 86. North wind 5 to 8 mph."
Power Strip,7/7/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 87. North northwest wind 3 to 7 mph."
PRXZM,7/7/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 91. North northwest wind 2 to 7 mph."
Seattle Reign FC vs. Utah Royals FC,7/7/2024,Lumen Field,Sports,Pioneer Square,"Sunny, with a high near 89. North wind 2 to 7 mph."
Tate McRae: Think Later Tour,7/7/2024,Chateau Ste. Michelle Winery,Music,East,"Sunny, with a high near 91. North northwest wind 2 to 7 mph."
The Annual Winds5 Comic Con-cert,7/7/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 90. North northwest wind 2 to 7 mph."
One Step Closer,7/8/2024,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 89. North wind 2 to 9 mph."
Redd Kross,7/8/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 89. North wind 2 to 9 mph."
The Band Camino,7/8/2024,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 89. North wind 2 to 9 mph."
The Band Camino,7/8/2024,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 91. North wind 2 to 8 mph."
Ananda Lima,7/9/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 90. North wind 2 to 8 mph."
Lachy Doley,7/9/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 93. North wind 2 to 8 mph."
Middle Kids,7/9/2024,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 89. North wind 3 to 9 mph."
Out of Stock,7/9/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 91. North wind 2 to 8 mph."
Songwriters in the Round: Mountain Holler,7/9/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 89. North wind 3 to 8 mph."
Starter Baby,7/9/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 92. North wind 2 to 8 mph."
The Round: Rachael Kilgour,7/9/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,"Sunny, with a high near 89. North wind 3 to 9 mph."
BNH Deluxe,7/10/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 83."
Clive Carroll,7/10/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 83."
Cris Jacobs Band,7/10/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 85."
David Rosales and His Band Of Scoundrels,7/10/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 84."
Griffin House,7/10/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 85."
Hot Rod,7/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 85."
Hurricane Dreamz,7/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 85."
Indigo De Souza,7/10/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 85."
Mia Day,7/10/2024,Chop Suey,Music,Capitol Hill / Central District,"Sunny, with a high near 85."
Seattle Storm vs. Las Vegas Aces,7/10/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Sunny, with a high near 83."
Sour Widows,7/10/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 85."
Survive Said The Prophet,7/10/2024,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 86."
Black Sabbitch,7/11/2024,El Corazon,Music,Downtown,"Sunny, with a high near 78."
Diplomats of Funk,7/11/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 76."
Flourish,7/11/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 79."
Form Fest Seattle,7/11/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 79."
Ghost-Note,7/11/2024,The Neptune Theatre,Music,University District,"Sunny, with a high near 76."
Gniffke,7/11/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 80."
Great Women of Folk and Country,7/11/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 79."
Marjan Kamali,7/11/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 78."
Ollella and Sturtz,7/11/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 76."
Red Fang,7/11/2024,The Showbox,Music,Downtown,"Sunny, with a high near 76."
Spotlight Series: Union Cultural Center,7/11/2024,Pier 62,Dance,Downtown,"Sunny, with a high near 78."
Summer Nights on the Terrace with Benjamin Hunter,7/11/2024,Museum of History & Industry,Music,Queen Anne / Seattle Center,"Sunny, with a high near 76."
The Revivalists,7/11/2024,Chateau Ste. Michelle Winery,Music,East,"Sunny, with a high near 78."
