Name,Date,Location,Type,Region,Weather
Brooks Nielsen,9/13/2024,The Neptune Theatre,Music,University District,"Rain showers likely after 4pm. Mostly cloudy, with a high near 64. Southwest wind 1 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Danny Ocean,9/13/2024,The Moore Theatre,Music,Downtown,"Rain showers after 3pm. Mostly cloudy, with a high near 63. Southwest wind 1 to 6 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Frente Cumbiero,9/13/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain showers likely after 4pm. Mostly cloudy, with a high near 64. Southwest wind 1 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Future Islands,9/13/2024,The Paramount Theatre,Music,Downtown,"Rain showers likely after 4pm. Mostly cloudy, with a high near 65. Southwest wind 1 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
High Step Society,9/13/2024,The Crocodile,Music,Downtown,"Rain showers likely after 4pm. Mostly cloudy, with a high near 66. South southwest wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Joe Casalini Trio,9/13/2024,The Royal Room,Music,South Seattle,"Rain showers likely after 4pm. Mostly cloudy, with a high near 64. Southwest wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Nekrogoblikon,9/13/2024,El Corazon,Music,Downtown,"Rain showers likely after 4pm. Mostly cloudy, with a high near 65. Southwest wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Rose Betts,9/13/2024,Barboza,Music,Capitol Hill / Central District,"Rain showers after 3pm. Mostly cloudy, with a high near 65. Southwest wind 1 to 6 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Shady Bottom Funk,9/13/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain showers likely after 4pm. Mostly cloudy, with a high near 65. Southwest wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Far-Right Takeover of Small-Town America with Sasha Abramsky,9/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain showers likely after 4pm. Mostly cloudy, with a high near 66. South southwest wind 2 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Highsteppers Classic Soul Revue,9/13/2024,The Royal Room,Music,South Seattle,"Rain showers likely after 4pm. Mostly cloudy, with a high near 65. Southwest wind 1 to 6 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
