Name,Date,Location,Type,Region,Weather
31 Nights,4/7/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers between noon and 2pm, then showers and thunderstorms likely. Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. South southwest wind 6 to 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Mom Jeans,4/7/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain showers between noon and 2pm, then showers and thunderstorms likely. Mostly cloudy. High near 54, with temperatures falling to around 52 in the afternoon. South southwest wind around 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Randy Weeks,4/7/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers between noon and 2pm, then showers and thunderstorms likely. Mostly cloudy. High near 54, with temperatures falling to around 52 in the afternoon. South southwest wind 7 to 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Re + Re-TROS North America Tour,4/7/2024,The Showbox,Music,Downtown,"A chance of rain showers between noon and 2pm, then a chance of showers and thunderstorms. Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. South southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Trevor Eulau Trio,4/7/2024,The Royal Room,Music,South Seattle,"A chance of rain showers between noon and 2pm, then showers and thunderstorms likely. Mostly cloudy. High near 56, with temperatures falling to around 54 in the afternoon. South southwest wind around 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Blake Rose,4/8/2024,Barboza,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 51. South wind 10 to 17 mph, with gusts as high as 24 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
American Broke,4/9/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain showers likely before 5pm. Mostly cloudy, with a high near 56. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Robert Bullard: The Quest for Environmental and Climate Justice,4/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain showers likely before 5pm. Mostly cloudy, with a high near 56. Southwest wind 9 to 15 mph, with gusts as high as 21 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain showers likely before 5pm. Mostly cloudy, with a high near 56. Southwest wind 9 to 14 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Alice Phoebe Lou,4/10/2024,The Showbox,Music,Downtown,"Partly sunny, with a high near 58."
All of Our Cornbread,4/10/2024,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 58."
Hot Rod,4/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Partly sunny, with a high near 58."
