Name,Date,Location,Type,Region,Weather
Hurricane Dreamz,4/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Partly sunny, with a high near 59."
Jonathan Metzl,4/10/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 59."
Meltt,4/10/2024,Barboza,Music,Capitol Hill / Central District,"Partly sunny, with a high near 59."
Candlelight Concert,4/11/2024,Town Hall Seattle,Music,Downtown,"Rain showers likely after 11am. Mostly cloudy, with a high near 59."
Chris Stanley,4/11/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
Climate Chronicles – The Delusion of Controlling Nature,4/11/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
Delia,4/11/2024,The Crocodile,Music,Downtown,"A chance of rain showers after 11am. Mostly cloudy, with a high near 60."
Izzy Majcher,4/11/2024,The Royal Room,Music,South Seattle,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
Kronos Quartet,4/11/2024,The Moore Theatre,Music,Downtown,"Rain showers likely after 11am. Mostly cloudy, with a high near 58."
Manazma Sheen,4/11/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
My Comedian Teacher,4/11/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
Rising Star Project: Something’s Afoot,4/11/2024,The 5th Avenue Theatre,Theatre,Downtown,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain showers after 11am. Mostly cloudy, with a high near 58."
Anastacia-Renee with Noni Ervin,4/12/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 52."
Eliza McLamb,4/12/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 53."
Felipe Esparza,4/12/2024,The Neptune Theatre,Theatre,University District,"A chance of rain showers. Partly sunny, with a high near 52."
Johnny Manchild and the Poor Bastards,4/12/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 52."
Pinc Louds,4/12/2024,Rendezvous JewelBox Theater,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 52."
Set It Off,4/12/2024,The Showbox,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 53."
Shady Bottom Funk,4/12/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Partly sunny, with a high near 52."
Taylor Hughes: The Feel Good Magic Tour,4/12/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"A chance of rain showers. Partly sunny, with a high near 53."
The Kings,4/12/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 52."
Afrobeats to the World,4/13/2024,The Crocodile,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 53."
Art Gecko,4/13/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 53."
Disco Mafia,4/13/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Partly sunny, with a high near 53."
Hannah Jones and BK Sharad,4/13/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"A chance of rain showers. Partly sunny, with a high near 53."
Kate Dinsmore,4/13/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 54."
Lisa Fox Group,4/13/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 53."
Miss Misery,4/13/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 53."
Sampha,4/13/2024,The Showbox,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 55."
Sasha Colby: Stripped Tour,4/13/2024,The Neptune Theatre,Theatre,University District,"A chance of rain showers. Partly sunny, with a high near 53."
Scratch Night 2024 with Maia Brown,4/13/2024,Town Hall Seattle,Theatre,Downtown,"A chance of rain showers. Partly sunny, with a high near 55."
Squirt,4/13/2024,Slim's Last Chance,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 54."
Tina Fey and Amy Poehler: Restless Leg Tour,4/13/2024,WaMu Theater,Theatre,Pioneer Square,"A chance of rain showers. Partly sunny, with a high near 53."
Tyr,4/13/2024,El Corazon,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 53."
Yuri’s Night,4/13/2024,The Museum of Flight,Museums,South Seattle,"A chance of rain showers. Partly sunny, with a high near 53."
