Name,Date,Location,Type,Region,Weather
Amber Liu,1/17/2024,The Crocodile,Music,Downtown,"A chance of rain. Cloudy. High near 38, with temperatures falling to around 35 in the afternoon. East northeast wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts between a tenth and quarter of an inch possible."
Disability Justice,1/17/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain before 5pm, then a chance of rain and snow. Mostly cloudy. High near 38, with temperatures falling to around 35 in the afternoon. Northeast wind 6 to 10 mph. Chance of precipitation is 50%. New rainfall amounts between a tenth and quarter of an inch possible."
Hughes Bros Presents,1/17/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain. Cloudy. High near 38, with temperatures falling to around 35 in the afternoon. East northeast wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts between a tenth and quarter of an inch possible."
sarya wu,1/17/2024,Chop Suey,Music,Capitol Hill / Central District,"A chance of rain before 5pm, then a chance of rain and snow. Cloudy. High near 38, with temperatures falling to around 35 in the afternoon. East northeast wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts between a tenth and quarter of an inch possible."
The Sweet Lillies,1/17/2024,High Dive,Music,Fremont / Ballard,"A chance of rain before 5pm, then a chance of rain and snow. Cloudy. High near 39, with temperatures falling to around 35 in the afternoon. Northeast wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts between a tenth and quarter of an inch possible."
Black Dogs,1/18/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain and snow likely before 9am, then rain and snow between 9am and 10am, then rain and snow. Cloudy, with a high near 37. East northeast wind 6 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Blue Elephant and The Seven Snakes,1/18/2024,Funhouse,Music,Capitol Hill / Central District,"Rain and snow. Cloudy, with a high near 38. East wind 5 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
"Brock, Lanzetti, Ogawa",1/18/2024,The Royal Room,Music,South Seattle,"Rain and snow. Cloudy, with a high near 37. East wind 6 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Fact and Fiction: The Lord of the Rings,1/18/2024,National Nordic Museum,Film & Media Arts,Fremont / Ballard,"Rain and snow likely before 9am, then rain and snow between 9am and 10am, then rain and snow. Cloudy, with a high near 37. East wind 6 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Groundation,1/18/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain and snow likely before 9am, then rain and snow between 9am and 10am, then rain and snow. Cloudy, with a high near 37. East northeast wind 6 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Kayla Min Andrews,1/18/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain and snow likely before 9am, then rain and snow between 9am and 10am, then rain and snow. Cloudy. High near 38, with temperatures falling to around 36 in the afternoon. East northeast wind 6 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Ol Doris,1/18/2024,Slim's Last Chance,Music,South Seattle,"Rain and snow likely before 9am, then rain and snow between 9am and 10am, then rain and snow. Cloudy, with a high near 37. East wind 6 to 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
