Name,Date,Location,Type,Region,Weather
AFROPUNK Seattle: Elysian Brewing’s Beer Garden,9/7/2024,Pier 62,Music,Downtown,"Mostly sunny, with a high near 82. North wind 3 to 7 mph."
Apes of the State,9/7/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 79. North wind 5 to 8 mph."
Babes in Canyon,9/7/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 79. North wind 5 to 8 mph."
Crack Sabbath,9/7/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 81. North northwest wind 2 to 8 mph."
CupcakKe,9/7/2024,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 80. North northwest wind 2 to 8 mph."
Dane Cook: Fresh New Flavor,9/7/2024,The Paramount Theatre,Theatre,Downtown,"Mostly sunny, with a high near 82. North northwest wind 3 to 7 mph."
Jammah,9/7/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 84. North northwest wind 3 to 7 mph."
Justified,9/7/2024,The Royal Room,Music,South Seattle,"Haze before 7am. Mostly sunny, with a high near 83. North northwest wind 3 to 7 mph."
Khushbu Shah with J. Kenji López-Alt,9/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 80. North northwest wind 2 to 8 mph."
Leslie Jones: Live,9/7/2024,The Moore Theatre,Theatre,Downtown,"Haze before 7am. Mostly sunny, with a high near 83. North northwest wind 2 to 7 mph."
Magdalena Bay: The Imaginal Mystery Tour,9/7/2024,The Neptune Theatre,Music,University District,"Mostly sunny, with a high near 79. North wind 5 to 8 mph."
Mark Farina – Mushroom Jazz,9/7/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 84. North northwest wind 3 to 7 mph."
Moraine,9/7/2024,The Royal Room,Music,South Seattle,"Haze before 7am. Mostly sunny, with a high near 81. North northwest wind 3 to 7 mph."
Nervosa,9/7/2024,El Corazon,Music,Downtown,"Haze before 7am. Mostly sunny, with a high near 83. North northwest wind 3 to 7 mph."
Osees,9/7/2024,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 81. North wind 3 to 8 mph."
Redferrin,9/7/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 82. North wind 3 to 7 mph."
Seattle Storm vs. Phoenix Mercury,9/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Haze before 7am. Mostly sunny, with a high near 83. North northwest wind 3 to 7 mph."
Slow Magic,9/7/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 81. North northwest wind 2 to 8 mph."
Sum 41,9/7/2024,WaMu Theater,Music,Pioneer Square,"Haze before 7am. Mostly sunny, with a high near 85. North northwest wind 2 to 6 mph."
SWITCHFOOT,9/7/2024,Marymoor Park,Music,Bellevue / Eastside,"Mostly sunny, with a high near 80. North northwest wind 2 to 8 mph."
Carin Leon,9/8/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Sunny, with a high near 80. South southwest wind around 6 mph."
Cole Nussbaumer Knaflic,9/8/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 80. South southwest wind around 6 mph."
Festal: Live Aloha Hawaiian Cultural Festival,9/8/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Sunny, with a high near 81. South southwest wind around 6 mph."
Klezmer Starts Here: The Music of Dave Tarras,9/8/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 79. South southwest wind 3 to 7 mph."
Lalah Hathaway,9/8/2024,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 80. South southwest wind 3 to 7 mph."
Marty O’Reilly,9/8/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 81. South southwest wind around 6 mph."
Night Tempo,9/8/2024,The Neptune Theatre,Music,University District,"Sunny, with a high near 78. South southwest wind around 7 mph."
Out of Stock,9/8/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 81. South southwest wind around 7 mph."
Seattle Seahawks vs. Denver Broncos,9/8/2024,Lumen Field,Sports,Pioneer Square,"Sunny, with a high near 78. South southwest wind 3 to 7 mph."
The Get Up Kids,9/8/2024,The Showbox,Music,Downtown,"Sunny, with a high near 80. South southwest wind around 6 mph."
young friend,9/8/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 78. South southwest wind around 7 mph."
Cypress Spring and Austin Tolliver,9/9/2024,High Dive,Music,Fremont / Ballard,"Partly sunny, with a high near 72. Southwest wind around 6 mph."
Jazmin Bean,9/9/2024,The Showbox,Music,Downtown,"Partly sunny, with a high near 73. Southwest wind around 6 mph."
Joyce Maynard,9/9/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Partly sunny, with a high near 73. Southwest wind around 6 mph."
Wabie,9/9/2024,Barboza,Music,Capitol Hill / Central District,"Partly sunny, with a high near 73. Southwest wind around 6 mph."
Barstool Sports: PlanBri,9/10/2024,Showbox SoDo,Theatre,Pioneer Square,"A slight chance of rain after 5pm. Mostly cloudy, with a high near 68. Chance of precipitation is 20%."
Buffalo Galaxy,9/10/2024,High Dive,Music,Fremont / Ballard,"A slight chance of rain after 5pm. Mostly cloudy, with a high near 70. Chance of precipitation is 20%."
