Name,Date,Location,Type,Region,Weather
2025 Babymonster – 1st World Tour,9/12/2025,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Mostly cloudy. Low around 58, with temperatures rising to around 60 overnight. East southeast wind around 2 mph."
A Conversation with R.F. Kuang,9/12/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly cloudy. Low around 56, with temperatures rising to around 58 overnight. South southwest wind around 3 mph."
Jon Pardi with Kassi Ashton,9/12/2025,Washington State Fair Events Center,Music,South,"Partly sunny, with a high near 71. West wind around 3 mph."
MOHAI Mercantile Literary Series: The Sound of Seattle,9/12/2025,Museum of History & Industry,Museums,Queen Anne / Seattle Center,"Partly sunny, with a high near 70. West wind around 3 mph."
Viagra Boys,9/12/2025,Showbox SoDo,Music,Pioneer Square,"Partly sunny, with a high near 71. West wind around 3 mph."
What’s Wrong,9/12/2025,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 72. West wind around 3 mph."
Black and Loud Fest,9/13/2025,The Crocodile,Music,Downtown,"Partly sunny, with a high near 73. Southeast wind 1 to 5 mph."
Is This Real and Ed Roth Revue,9/13/2025,The Triple Door,Music,Downtown,"Partly sunny, with a high near 75. East southeast wind around 5 mph."
Journey to Justice Tour,9/13/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 75. East southeast wind around 5 mph."
Omni,9/13/2025,Barboza,Music,Capitol Hill / Central District,"Partly sunny, with a high near 73. South southwest wind 1 to 5 mph."
Billy and the Dreamboats,9/14/2025,Sunset Tavern,Music,Fremont / Ballard,"Rain before 5pm, then showers and thunderstorms likely. Mostly cloudy, with a high near 68. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Yiming Ma with Tessa Hulls,9/15/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A slight chance of rain before 11am. Partly sunny, with a high near 66."
Bigfoot Curious,9/16/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 76."
Bill McKibben,9/16/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 76."
Billie Marten,9/16/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 76."
Drew Harvell,9/16/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 75."
The Indicted,9/16/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 74."
Artists’ Reception & Panel Conversation for Bloedel Reserve: 10 Years of Creative Residencies,9/17/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of rain after 11am. Mostly sunny, with a high near 73."
Be’lakor,9/18/2025,El Corazon,Music,Downtown,"A slight chance of rain. Partly sunny, with a high near 69."
Black Dogs,9/18/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A slight chance of rain. Partly sunny, with a high near 67."
Duffy Bishop,9/18/2025,The Triple Door,Music,Downtown,"A slight chance of rain. Partly sunny, with a high near 67."
