Name,Date,Location,Type,Region,Weather
ANOHNI and the Johnsons,10/7/2024,The Paramount Theatre,Music,Downtown,"Patchy fog before 8am. Sunny, with a high near 75. South wind 1 to 5 mph."
Badflower,10/7/2024,The Neptune Theatre,Music,University District,"Sunny, with a high near 74. South wind 1 to 5 mph."
Cancerslug,10/7/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 74. South wind 1 to 5 mph."
Chase Jarvis,10/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 71. South wind 1 to 6 mph."
Edwin Raphael,10/7/2024,High Dive,Music,Fremont / Ballard,"Patchy fog before 8am. Sunny, with a high near 73. South wind 1 to 6 mph."
La Luz,10/7/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 74. South wind 1 to 6 mph."
Seattle Reign FC vs. Angel City FC,10/7/2024,Lumen Field,Sports,Pioneer Square,"Sunny, with a high near 71. South wind 1 to 6 mph."
The Jack Moves,10/7/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 74. South wind 1 to 6 mph."
Wilderado,10/7/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 71. South wind 1 to 6 mph."
Boy Golden,10/8/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South wind 3 to 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Craymer,10/8/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain. Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South wind 3 to 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Sandra Cisneros,10/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Mostly cloudy. High near 64, with temperatures falling to around 62 in the afternoon. South wind 3 to 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Show Me The Body,10/8/2024,The Showbox,Music,Downtown,"Rain. Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South wind 3 to 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
The Collection,10/8/2024,Barboza,Music,Capitol Hill / Central District,"Rain. Mostly cloudy. High near 65, with temperatures falling to around 63 in the afternoon. South wind 3 to 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
UPSAHL,10/8/2024,The Crocodile,Music,Downtown,"Rain. Mostly cloudy. High near 66, with temperatures falling to around 64 in the afternoon. South wind 5 to 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Andy Grammer,10/9/2024,The Moore Theatre,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 62. South southwest wind 6 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
BLU & EXILE,10/9/2024,High Dive,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 63. South southwest wind 6 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Carnifex,10/9/2024,El Corazon,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 63. South southwest wind 6 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Hot Rod,10/9/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain likely. Mostly cloudy, with a high near 64. South southwest wind 5 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Kelly Willis,10/9/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 64. South southwest wind 6 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Rival Consoles,10/9/2024,The Crocodile,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 64. South southwest wind 6 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Temples,10/9/2024,Neumos,Music,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 62. South southwest wind 6 to 12 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Boombox,10/10/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 61."
Ivy Lab,10/10/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 62."
Lila Downs,10/10/2024,Meany Center for the Performing Arts,Music,University District,"Mostly sunny, with a high near 62."
Lila Downs,10/10/2024,Meany Center for the Performing Arts,Music,University District,"Mostly sunny, with a high near 61."
Manazma Sheen,10/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 60."
Pig,10/10/2024,El Corazon,Music,Downtown,"Mostly sunny, with a high near 62."
Seattle Seahawks vs. San Francisco 49ers,10/10/2024,Lumen Field,Sports,Pioneer Square,"Mostly sunny, with a high near 59."
The Free Label,10/10/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 59."
13 Til Midnight,10/11/2024,High Dive,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 62."
Chaparelle,10/11/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 63."
Michael Steven Wilson and Jose Antonio Lucero,10/11/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 62."
Miss May I,10/11/2024,El Corazon,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 63."
Sunset Rubdown,10/11/2024,The Crocodile,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 63."
10 Years,10/12/2024,El Corazon,Music,Downtown,"A chance of rain. Partly sunny, with a high near 67."
Bonny Light Horseman,10/12/2024,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 67."
Carlos Nunez Band,10/12/2024,Town Hall Seattle,Music,Downtown,"A chance of rain. Partly sunny, with a high near 67."
Cool Customer,10/12/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 65."
Desert Dwellers,10/12/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 67."
Justin Martin,10/12/2024,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 67."
Willi Carlisle,10/12/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 67."
Your Old Droog,10/12/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 66."
Bizzy Bone,10/13/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 66."
Cole Chaney,10/13/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 68."
Dashboard Confessional,10/13/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain. Partly sunny, with a high near 68."
Mumiy Troll,10/13/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 68."
Slift,10/13/2024,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 68."
The Reverend Peyton’s Big Damn Band,10/13/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 68."
