Name,Date,Location,Type,Region,Weather
Alessandra Rose,4/19/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 68. East northeast wind 3 to 9 mph."
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,"Sunny, with a high near 67. Northeast wind 3 to 10 mph."
Bobcat Goldthwait,4/19/2024,The Triple Door,Theatre,Downtown,"Sunny, with a high near 68. East northeast wind 3 to 9 mph."
D.O.A.,4/19/2024,El Corazon,Music,Downtown,"Sunny, with a high near 68. East northeast wind 3 to 9 mph."
David Ward,4/19/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 69. Northeast wind 3 to 10 mph."
Freddy Fuego,4/19/2024,The Royal Room,Music,South Seattle,"Clear, with a low around 42. North northeast wind around 5 mph."
Hasan Minhaj,4/19/2024,The Paramount Theatre,Theatre,Downtown,"Sunny, with a high near 68. Northeast wind 3 to 10 mph."
I Dont Know How but They Found Me,4/19/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 67. Northeast wind 3 to 10 mph."
Inna,4/19/2024,The Showbox,Music,Downtown,"Clear, with a low around 42. North northeast wind around 5 mph."
Jupiter,4/19/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 68. Northeast wind 3 to 10 mph."
Pallett Band Live in Seattle,4/19/2024,Town Hall Seattle,Music,Downtown,"Sunny, with a high near 67. Northeast wind 3 to 10 mph."
Bingo Loco,4/20/2024,The Crocodile,Music,Downtown,"Rain after 11am. Mostly sunny. High near 66, with temperatures falling to around 55 in the afternoon. East southeast wind 1 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Brigitte Calls Me Baby,4/20/2024,Barboza,Music,Capitol Hill / Central District,"Rain after 11am. Mostly sunny. High near 67, with temperatures falling to around 56 in the afternoon. Southeast wind 2 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Cozmos and Wanders,4/20/2024,The Royal Room,Music,South Seattle,"Rain after 11am. Mostly sunny. High near 66, with temperatures falling to around 55 in the afternoon. South southeast wind 2 to 15 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Eldridge Gravy,4/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain after 11am. Mostly sunny. High near 66, with temperatures falling to around 55 in the afternoon. East southeast wind 1 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Saturday Family Concert: Seattle Steel Pan Project,4/20/2024,Town Hall Seattle,Music,Downtown,"Rain after 11am. Mostly sunny. High near 66, with temperatures falling to around 55 in the afternoon. Southeast wind 1 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square,"Rain after 11am. Partly sunny. High near 65, with temperatures falling to around 54 in the afternoon. East southeast wind 2 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Sisterhood,4/20/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"Rain after 11am. Mostly sunny. High near 67, with temperatures falling to around 56 in the afternoon. Southeast wind 2 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Susan Lowman Robinson – Happy Hour,4/20/2024,The Royal Room,Music,South Seattle,"Rain after 11am. Partly sunny. High near 66, with temperatures falling to around 55 in the afternoon. South wind 2 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
The Pancakes and  Booze Art Show,4/20/2024,El Corazon,Festivals & Special Events,Downtown,"Rain after 11am. Partly sunny. High near 66, with temperatures falling to around 55 in the afternoon. South wind 2 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Greta Matassa,4/21/2024,The Royal Room,Music,South Seattle,"Rain showers likely. Partly sunny, with a high near 56. Southwest wind around 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
NONPOINT,4/21/2024,El Corazon,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 55. Southwest wind around 12 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Panchiko,4/21/2024,The Showbox,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 56. Southwest wind around 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Randy Weeks,4/21/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain showers likely. Partly sunny, with a high near 56. Southwest wind around 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Seattle Reign FC vs. Chicago Red Stars,4/21/2024,Lumen Field,Sports,Pioneer Square,"Rain showers likely. Partly sunny, with a high near 56. Southwest wind around 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Still Corners,4/21/2024,The Crocodile,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 56. Southwest wind around 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
The Music of Iran,4/21/2024,Town Hall Seattle,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 56. Southwest wind around 10 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Camaira Metz,4/22/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 58."
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,"Mostly sunny, with a high near 59."
Edward Humes with Ryan Metzger,4/22/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 58."
An Evening with STARSET,4/23/2024,The Showbox,Music,Downtown,"A chance of rain showers after 5pm. Partly sunny, with a high near 64."
Big Tooth,4/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 64."
Carissa Stanton with Rachael DeVaux,4/23/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers after 5pm. Partly sunny, with a high near 63."
Dead Boys,4/23/2024,El Corazon,Music,Downtown,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 64."
Great Good Fine Ok,4/23/2024,Barboza,Music,Capitol Hill / Central District,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 64."
Pathology,4/23/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers after 5pm. Partly sunny, with a high near 63."
Waltzerr,4/23/2024,Sunset Tavern,Music,Fremont / Ballard,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 63."
Bill Wasik and Monica Murphy,4/24/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 58."
Brian Nova Big Band,4/24/2024,The Triple Door,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 59."
Chris Renzema,4/24/2024,The Crocodile,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 59."
Comfort Food,4/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Partly sunny, with a high near 59."
Hanif Abdurraqib,4/24/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers. Partly sunny, with a high near 59."
Korpiklaani,4/24/2024,El Corazon,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 59."
PBS – Peter Band Supreme,4/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers. Partly sunny, with a high near 59."
The Waddlers,4/24/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 60."
Willy Porter,4/24/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 59."
Alua Arthur,4/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 57."
Bendigo Fletcher,4/25/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 57."
Dylan Hayes,4/25/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain. Mostly cloudy, with a high near 57."
Gabrielle Zevin,4/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 58."
Kiltro with Neoma,4/25/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 57."
Patty Crane,4/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 57."
