Name,Date,Location,Type,Region,Weather
Bonney Rubble,2/20/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly cloudy, with a low around 44. South southwest wind around 10 mph."
Hindley Street Country Club,2/20/2025,The Moore Theatre,Music,Downtown,"Partly cloudy. Low around 42, with temperatures rising to around 44 overnight. South southwest wind around 9 mph."
Ignite 47,2/20/2025,Town Hall Seattle,Festivals & Special Events,Downtown,"Partly cloudy, with a low around 42. South wind around 10 mph."
May Erlewine,2/20/2025,Nectar Lounge,Music,Fremont / Ballard,"Partly cloudy, with a low around 42. South wind around 8 mph."
Myles Kennedy,2/20/2025,The Neptune Theatre,Music,University District,"Partly cloudy, with a low around 42. South wind around 10 mph."
Tavana,2/20/2025,High Dive,Music,Fremont / Ballard,"Partly cloudy. Low around 42, with temperatures rising to around 44 overnight. South wind around 12 mph."
80s Party – Hysteria,2/21/2025,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 52. Northeast wind 3 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Amjad Ali Khan and Sons,2/21/2025,Meany Center for the Performing Arts,Music,University District,"Rain. Cloudy, with a high near 51. Southeast wind 3 to 15 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Ashley Monroe,2/21/2025,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 52. East southeast wind 3 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Phantogram,2/21/2025,The Moore Theatre,Music,Downtown,"Rain. Cloudy, with a high near 51. East southeast wind 3 to 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Phil Hartnoll,2/21/2025,Nectar Lounge,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 51. East southeast wind 3 to 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Swavy,2/21/2025,High Dive,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 51. East wind 3 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Trash Fairy,2/21/2025,Funhouse,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 52. East southeast wind 3 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
TVBOO,2/21/2025,The Showbox,Music,Downtown,"Rain. Cloudy, with a high near 52. East southeast wind 3 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Black History Month Soiree 2025,2/22/2025,Bainbridge Island Museum of Art,Museums,West,"Rain. Cloudy, with a high near 54. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Brazilian Carnaval,2/22/2025,Nectar Lounge,Museums,Fremont / Ballard,"Rain. Cloudy, with a high near 56. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Gavin Adcock,2/22/2025,The Showbox,Music,Downtown,"Rain. Cloudy, with a high near 56. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Hidden Brain,2/22/2025,The Moore Theatre,Readings & Lectures,Downtown,"Rain. Cloudy, with a high near 54. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Nurser,2/22/2025,Funhouse,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 54. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Xoth,2/22/2025,High Dive,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 54. Chance of precipitation is 100%. New rainfall amounts between three quarters and one inch possible."
Abstract,2/23/2025,High Dive,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 55."
Demon Rind,2/23/2025,Tractor Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 55."
Edward Alden and Laurie Trautman,2/23/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Cloudy, with a high near 55."
Four Stroke Baron,2/23/2025,Funhouse,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 55."
Lupii lui Calancea,2/23/2025,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 55."
Theory of a Deadman,2/23/2025,The Moore Theatre,Music,Downtown,"Rain. Cloudy, with a high near 54."
Vanished,2/23/2025,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 56."
A R I Z O N A,2/24/2025,Showbox SoDo,Music,Pioneer Square,"Rain. Cloudy, with a high near 56."
Apocalyptica,2/25/2025,The Moore Theatre,Music,Downtown,"Rain. Mostly cloudy, with a high near 52."
Decapitated,2/25/2025,El Corazon,Music,Downtown,"Rain. Mostly cloudy, with a high near 54."
Isidore String Quartet: Unrequited,2/25/2025,Meany Center for the Performing Arts,Music,University District,"Rain. Mostly cloudy, with a high near 53."
Cavalera,2/26/2025,El Corazon,Music,Downtown,"Partly sunny, with a high near 58."
K.Flay,2/26/2025,The Showbox,Music,Downtown,"Partly sunny, with a high near 58."
Little Stranger,2/26/2025,The Crocodile,Music,Downtown,"Partly sunny, with a high near 57."
Mannywellz,2/26/2025,Nectar Lounge,Music,Fremont / Ballard,"Partly sunny, with a high near 58."
Rick Steves,2/26/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 58."
Translinear Light,2/26/2025,The Moore Theatre,Music,Downtown,"Partly sunny, with a high near 58."
Victor Luckerson,2/26/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 58."
