Name,Date,Location,Type,Region,Weather
Aaron Golay and The Original Sin,8/14/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly cloudy. High near 72, with temperatures falling to around 70 in the afternoon. South wind around 8 mph. New rainfall amounts less than a tenth of an inch possible."
Big Brass Extravaganza #12,8/14/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly cloudy. High near 74, with temperatures falling to around 71 in the afternoon. South southwest wind around 8 mph. New rainfall amounts less than a tenth of an inch possible."
Codefendants,8/14/2025,El Corazon,Music,Downtown,"Cloudy. Low around 60, with temperatures rising to around 63 overnight. South wind around 6 mph. New rainfall amounts less than a tenth of an inch possible."
Meet Me at the Movies,8/14/2025,Frye Art Museum,Museums,Capitol Hill / Central District,"Mostly cloudy. High near 74, with temperatures falling to around 71 in the afternoon. South southwest wind around 8 mph. New rainfall amounts less than a tenth of an inch possible."
Moldavite,8/14/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly cloudy. High near 72, with temperatures falling to around 70 in the afternoon. South wind around 8 mph. New rainfall amounts less than a tenth of an inch possible."
Morgan Paris Lanza,8/14/2025,Hidden Hall,Music,Fremont / Ballard,"Mostly cloudy, with a high near 74. South wind around 8 mph. New rainfall amounts less than a tenth of an inch possible."
One More Time: A Tribute to Daft Punk,8/14/2025,The Crocodile,Music,Downtown,"Mostly cloudy. High near 73, with temperatures falling to around 71 in the afternoon. South wind around 9 mph. New rainfall amounts less than a tenth of an inch possible."
Vinta,8/14/2025,Sunset Tavern,Music,Fremont / Ballard,"Cloudy. Low around 60, with temperatures rising to around 63 overnight. South wind around 6 mph. New rainfall amounts less than a tenth of an inch possible."
Dr. Brady’s Oral Fixation Tour,8/15/2025,The Neptune Theatre,Theatre,University District,"Rain. Cloudy, with a high near 67. South wind around 13 mph, with gusts as high as 24 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Israel’s Arcade,8/15/2025,Funhouse,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 67. South wind 10 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Pike Place Market Foundation’s Sunset Supper,8/15/2025,Pike Place Market,Festivals & Special Events,Downtown,"Rain. Cloudy, with a high near 66. South wind around 15 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
The Whags,8/15/2025,Hidden Hall,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 69. South wind 10 to 14 mph, with gusts as high as 24 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Thee Eliam,8/15/2025,Slim's Last Chance,Music,South Seattle,"Rain. Cloudy, with a high near 68. South wind around 14 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Tropidelic,8/15/2025,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 68. South wind around 14 mph, with gusts as high as 25 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
Alabama Shakes,8/16/2025,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain showers likely. Partly sunny, with a high near 76. South southwest wind around 9 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Femi Kuti and The Positive Force,8/16/2025,The Neptune Theatre,Music,University District,"Rain showers likely. Mostly cloudy, with a high near 73. South southwest wind around 10 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lamont Landers,8/16/2025,Hidden Hall,Music,Fremont / Ballard,"Rain showers likely. Partly sunny, with a high near 73. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lizzy and the Triggermen,8/16/2025,The Triple Door,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 74. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Pedro The Lion,8/16/2025,Barboza,Music,Capitol Hill / Central District,"Rain showers likely. Mostly cloudy, with a high near 75. South southwest wind around 10 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Rocco – The Smoking Gun Tour,8/16/2025,The Crocodile,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 74. South southwest wind around 10 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Sun Crow,8/16/2025,Funhouse,Music,Capitol Hill / Central District,"Rain showers likely. Partly sunny, with a high near 75. South southwest wind 7 to 12 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
The Bar Pilots,8/16/2025,Slim's Last Chance,Music,South Seattle,"Rain showers likely. Partly sunny, with a high near 76. South southwest wind around 9 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Eel Sallad,8/17/2025,Hidden Hall,Music,Fremont / Ballard,"Partly sunny, with a high near 75."
Festal: BrasilFest,8/17/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Partly sunny, with a high near 73."
Seola Station,8/17/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 75."
The Bad Things,8/17/2025,Tractor Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 75."
Ellise,8/18/2025,Barboza,Music,Capitol Hill / Central District,"Partly sunny, with a high near 75."
Babe Rainbow,8/19/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 77."
Danno Simpson,8/19/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 77."
Jack Van Cleaf,8/19/2025,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 75."
Our Last Night,8/19/2025,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 75."
Steamroller,8/19/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 76."
Twiztid,8/19/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 77."
Horsegirl,8/20/2025,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 74."
Mt. Joy,8/20/2025,WaMu Theater,Music,Pioneer Square,"Mostly sunny, with a high near 75."
Music in the Arboretum: Jose Gonzales Trio,8/20/2025,Washington Park Arboretum,Music,University District,"Mostly sunny, with a high near 75."
Pigs Pigs Pigs Pigs Pigs Pigs Pigs Death Hilarious Tour w/ Paranoyds,8/20/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 76."
Trio Reunion,8/20/2025,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 76."
