Name,Date,Location,Type,Region,Weather
Jenny Don’t and The Spurs,12/30/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly cloudy, with a low around 40. South wind around 7 mph."
New Wave New Years Eve,12/31/2024,High Dive,Music,Fremont / Ballard,"A chance of rain after 4pm. Mostly cloudy, with a high near 45. South southeast wind around 5 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
New Year’s Eve Concert & Party,12/31/2024,Benaroya Hall,Music,Downtown,"A chance of rain after 4pm. Mostly cloudy, with a high near 45. South southeast wind around 3 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
New Years Eve,12/31/2024,Slim's Last Chance,Music,South Seattle,"A chance of rain after 4pm. Mostly cloudy, with a high near 44. South southeast wind around 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Origami Ghosts,1/2/2025,Sunset Tavern,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 46."
Good Luck Club,1/3/2025,High Dive,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 48."
