Name,Date,Location,Type,Region,Weather
Level Up and Zingara,2/13/2026,The Showbox,Music,Downtown,"Rain before 3pm, then rain and patchy fog. Cloudy. High near 49, with temperatures falling to around 47 in the afternoon. South wind around 6 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Michael Shannon and Jason Narducy,2/13/2026,The Neptune Theatre,Music,University District,"A slight chance of rain after 4am. Mostly cloudy. Low around 43, with temperatures rising to around 45 overnight. South wind around 7 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Shame,2/13/2026,Neumos,Music,Capitol Hill / Central District,"Rain before 3pm, then rain and patchy fog. Cloudy. High near 49, with temperatures falling to around 47 in the afternoon. South wind around 6 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Sudan Archives,2/14/2026,The Neptune Theatre,Music,University District,"A chance of rain. Mostly cloudy, with a high near 47. South wind 2 to 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
The Ramona Flowers,2/14/2026,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 48. South southeast wind 2 to 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Ghost – Skeletour World Tour 2026,2/15/2026,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Mostly sunny, with a high near 47. North northeast wind around 6 mph."
Small Yards,2/15/2026,Slim's Last Chance,Music,South Seattle,"Mostly sunny, with a high near 47. North wind around 3 mph."
The Serpents Tour,2/15/2026,The Neptune Theatre,Theatre,University District,"Mostly sunny, with a high near 46."
Annika Wells and Rachel Bochner,2/18/2026,Barboza,Music,Capitol Hill / Central District,"A chance of rain and snow before 7am, then rain and snow likely. Mostly cloudy, with a high near 47."
Seattle U Redhawks vs. Saint Mary’s Gaels,2/18/2026,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain and snow before 7am, then rain and snow likely. Mostly cloudy, with a high near 47."
Cristela Alonzo,2/19/2026,The Neptune Theatre,Theatre,University District,"Rain and snow likely. Mostly cloudy, with a high near 44."
Jordan Ward,2/19/2026,Neumos,Music,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 45."
