Name,Date,Location,Type,Region,Weather
Albert Lee,6/7/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 79. North northwest wind 5 to 9 mph."
An Evening with Clive Carroll,6/7/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 79. North northwest wind 5 to 9 mph."
An Evening with Clive Carroll,6/7/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 78. North northwest wind 5 to 9 mph."
Asian Voices,6/7/2025,Seattle First Baptist Church,Music,Downtown,"Sunny, with a high near 78. North northwest wind 5 to 9 mph."
Disbosable Zeros – Tribute To Metallica,6/7/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 76. North northwest wind 3 to 13 mph."
Duende Libre Album Release,6/7/2025,The Triple Door,Music,Downtown,"Sunny, with a high near 78. North wind 5 to 9 mph."
Earth To Kenzie,6/7/2025,Opera Center,Music,Queen Anne / Seattle Center,"Sunny, with a high near 75. North northwest wind 5 to 9 mph."
Eldridge Gravy and Court Supreme,6/7/2025,Hidden Hall,Music,Fremont / Ballard,"Sunny, with a high near 78. North wind 5 to 9 mph."
Festal: Indigenous People Festival,6/7/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Sunny, with a high near 77. North northwest wind 5 to 9 mph."
Kayzo,6/7/2025,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 77. North northwest wind 3 to 9 mph."
Pride Rainbow Hop 2025,6/7/2025,Phinney Neighborhood Center,Festivals & Special Events,North Seattle,"Sunny, with a high near 78. North northwest wind 5 to 9 mph."
Spanish Guitar Night – Andrea Gonzalez Caballero,6/7/2025,Town Hall Seattle,Music,Downtown,"Sunny, with a high near 77. North northwest wind 5 to 9 mph."
The Minus 5,6/7/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 79. North northwest wind 5 to 9 mph."
Wayne Hancock IV,6/7/2025,Slim's Last Chance,Music,South Seattle,"Mostly cloudy, with a low around 54. North northwest wind around 5 mph."
grentperez,6/8/2025,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 81. North wind 2 to 7 mph."
Headless Bastard,6/8/2025,Hidden Hall,Music,Fremont / Ballard,"Sunny, with a high near 84. North wind 2 to 6 mph."
PhinneyWood Summer Arts Festival,6/8/2025,Phinney Neighborhood Center,Festivals & Special Events,North Seattle,"Sunny, with a high near 81. North wind 3 to 9 mph."
Clean Fight,6/9/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 84. North northwest wind 3 to 7 mph."
RINI,6/9/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 84. North northwest wind 3 to 7 mph."
Almost Dead,6/10/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 79."
Blind Melon,6/10/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 80."
Maria Reva with Stacey Levine,6/10/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 80."
Modern Faults,6/10/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 78."
Shai Foxx,6/10/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 79."
Trevor Hall,6/10/2025,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 78."
Yung Van,6/10/2025,Hidden Hall,Music,Fremont / Ballard,"Mostly sunny, with a high near 78."
Joseph Giant,6/11/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 71."
Laura Hickli,6/11/2025,Hidden Hall,Music,Fremont / Ballard,"Partly sunny, with a high near 71."
Star Anna,6/12/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 68."
The Bridge City Sinners,6/12/2025,Neumos,Music,Capitol Hill / Central District,"Partly sunny, with a high near 66."
Tio Nacho’s House,6/12/2025,Hidden Hall,Music,Fremont / Ballard,"Partly sunny, with a high near 68."
Uncle Lucius,6/12/2025,Tractor Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 66."
Captain’s Lounge,6/13/2025,Hidden Hall,Music,Fremont / Ballard,"Partly sunny, with a high near 68."
Crashing Wayward,6/13/2025,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 66."
Her Mountain Majesty,6/13/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 68."
Jess Walter,6/13/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Partly sunny, with a high near 67."
