Name,Date,Location,Type,Region,Weather
Improvement Movement,7/30/2025,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 83."
John Haymond w/ Abby Drivdahl,7/30/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 82."
These Certain birds,7/30/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 79."
Bridging Movements,7/31/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 81."
Comfort Food Band,7/31/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 81."
Drew Harvell,7/31/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 80."
Good Sleepy,7/31/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 81."
John K,7/31/2025,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 81."
Manazma Sheen,7/31/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 78."
Mountain Holler and The Western Dawn,7/31/2025,Hidden Hall,Music,Fremont / Ballard,"Mostly sunny, with a high near 82."
The Griot Party Experience | Spotlight at Waterfront Park,7/31/2025,Waterfront Park,Music,Downtown,"Mostly sunny, with a high near 78."
Bingo Loco: Name That Song,8/1/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 75."
Cash’d Out,8/1/2025,Hidden Hall,Music,Fremont / Ballard,"Mostly sunny, with a high near 78."
Coffee and Creativity,8/1/2025,Frye Art Museum,Museums,Capitol Hill / Central District,"Mostly sunny, with a high near 78."
Dispatch,8/1/2025,Marymoor Park,Music,Bellevue / Eastside,"Mostly sunny, with a high near 75."
Electric Feels,8/1/2025,The Showbox,Music,Downtown,"Mostly sunny, with a high near 77."
Funky 2 Death,8/1/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 77."
Name That Song,8/1/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 74."
Nina Katchadourian: 10-Minute Chat with the Chief Curator,8/1/2025,National Nordic Museum,Museums,Fremont / Ballard,"Mostly sunny, with a high near 78."
Sara Kehaulani Goo,8/1/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 78."
Sauvageones,8/1/2025,Slim's Last Chance,Music,South Seattle,"Mostly sunny, with a high near 77."
System of a Clown,8/1/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 77."
The Rose,8/1/2025,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,"Mostly sunny, with a high near 74."
