Name,Date,Location,Type,Region,Weather
Alain Johannes Band,7/26/2025,The Royal Room,Music,South Seattle,"Mostly cloudy. Low around 55, with temperatures rising to around 57 overnight. East southeast wind around 2 mph."
Couch Dog,7/26/2025,Barboza,Music,Capitol Hill / Central District,"Partly sunny, with a high near 74. South southwest wind around 5 mph."
Empty Graves and Gamma Knife,7/26/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly cloudy. Low around 55, with temperatures rising to around 57 overnight. East southeast wind around 2 mph."
Glory Hole: ReBirthday,7/26/2025,Town Hall Seattle,Theatre,Downtown,"Partly sunny, with a high near 75. Southwest wind 2 to 6 mph."
Hillbilly Headbanger’s Ball,7/26/2025,Slim's Last Chance,Music,South Seattle,"Partly sunny, with a high near 74. South southwest wind around 5 mph."
Ouija Macc,7/26/2025,El Corazon,Music,Downtown,"Partly sunny, with a high near 71. Southwest wind around 5 mph."
SAM Films: Save the Last Dance,7/26/2025,Seattle Art Museum,Museums,Downtown,"Mostly cloudy. Low around 55, with temperatures rising to around 57 overnight. East southeast wind around 2 mph."
45° Flamenco,7/27/2025,The Royal Room,Music,South Seattle,"Mostly sunny. High near 78, with temperatures falling to around 76 in the afternoon. South southwest wind around 5 mph."
Brasilidades,7/27/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 74. South southwest wind around 5 mph."
Chris Fleming,7/27/2025,The Moore Theatre,Theatre,Downtown,"Mostly sunny. High near 77, with temperatures falling to around 75 in the afternoon. Southwest wind around 5 mph."
Delores,7/27/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 77. South southwest wind around 5 mph."
Hey Riddle Riddle,7/27/2025,The Crocodile,Music,Downtown,"Mostly sunny. High near 75, with temperatures falling to around 73 in the afternoon. South southwest wind around 5 mph."
Rio the Bear,7/27/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 78. South southwest wind around 5 mph."
BashfortheWorld,7/28/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 79. West wind 1 to 6 mph."
Black Map,7/28/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 81."
Iggy Pop,7/28/2025,Marymoor Park,Music,Bellevue / Eastside,"Sunny, with a high near 79. West wind 1 to 7 mph."
Cancerslug,7/29/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 81."
Cooling It Down,7/29/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 79."
Filth,7/29/2025,El Corazon,Music,Downtown,"Sunny, with a high near 77."
Laney Jones and The Spirits,7/29/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 80."
Nosretep,7/29/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 77."
Randy Brecker,7/29/2025,Dimitriou's Jazz Alley,Music,Downtown,"Sunny, with a high near 80."
Will Potter,7/29/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 81."
Ateez,7/30/2025,Tacoma Dome,Music,South,"Mostly sunny, with a high near 79."
Dougie Poole,7/30/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 83."
