Name,Date,Location,Type,Region,Weather
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,"Cloudy, with a low around 42. North northeast wind around 7 mph."
Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard,"Cloudy, with a low around 41. East northeast wind around 3 mph."
Fracture,2/4/2024,Town Hall Seattle,Music,Downtown,"Cloudy, with a low around 43. East northeast wind around 5 mph."
Lil Skies,2/4/2024,The Showbox,Music,Downtown,"Cloudy, with a low around 41. East northeast wind around 3 mph."
Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown,"Cloudy, with a low around 41. East northeast wind around 3 mph."
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,"A chance of rain. Cloudy, with a high near 48. North wind 7 to 10 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain. Cloudy, with a high near 47. North northwest wind 7 to 10 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Joey Valence and Brae,2/6/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 47. Chance of precipitation is 30%."
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 48. Chance of precipitation is 30%."
Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 47. Chance of precipitation is 30%."
Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 48. Chance of precipitation is 30%."
Night Lovell,2/6/2024,The Showbox,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 48. Chance of precipitation is 30%."
Soja,2/6/2024,The Neptune Theatre,Music,University District,"A chance of rain. Mostly cloudy, with a high near 48. Chance of precipitation is 30%."
Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 46."
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 46."
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain. Mostly cloudy, with a high near 46."
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Partly sunny, with a high near 45."
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,"A chance of rain. Partly sunny, with a high near 45."
Edapollo,2/8/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 45."
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,"A chance of rain. Partly sunny, with a high near 45."
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,"A chance of rain. Partly sunny, with a high near 45."
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 45."
Replay Matinee: Michael Pollan,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Partly sunny, with a high near 45."
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 46."
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Partly sunny, with a high near 47."
Moontricks,2/9/2024,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 46."
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,"A chance of rain. Partly sunny, with a high near 46."
Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 48."
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain and snow. Partly sunny, with a high near 47."
Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,"A chance of rain. Partly sunny, with a high near 47."
JVNA,2/10/2024,The Showbox,Music,Downtown,"A chance of rain and snow. Partly sunny, with a high near 47."
Linda From Work,2/10/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 48."
The Brother Brothers,2/10/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain and snow. Partly sunny, with a high near 47."
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,"A chance of rain. Partly sunny, with a high near 47."
