Name,Date,Location,Type,Region,Weather
50 Year’s of Women’s Studio Workshop: Erin Zoya & Maymanah Farat,7/27/2024,Bainbridge Island Museum of Art,Museums,West,"Sunny, with a high near 76. West southwest wind 1 to 5 mph."
Alaska Airlines Torchlight Parade,7/27/2024,Westlake Park,Festivals & Special Events,Downtown,"Sunny, with a high near 79. Southwest wind around 5 mph."
Alejandro Escovedo,7/27/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 79. West southwest wind around 5 mph."
Battle in Seattle,7/27/2024,El Corazon,Music,Downtown,"Sunny, with a high near 79. Southwest wind around 5 mph."
BLASTFEST,7/27/2024,Fisher Pavilion,Music,Queen Anne / Seattle Center,"Sunny, with a high near 79. West southwest wind around 5 mph."
Candi Carpenter,7/27/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 78. West wind 1 to 6 mph."
Chris Stapleton,7/27/2024,T-Mobile Park,Music,Pioneer Square,"Sunny, with a high near 79. West southwest wind around 5 mph."
Couture and Cars Fashion Show,7/27/2024,LeMay - America's Car Museum,Museums,South,"Sunny, with a high near 78. West wind 1 to 6 mph."
Ken Carson,7/27/2024,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 76. West southwest wind 1 to 5 mph."
Legendary Volume 1,7/27/2024,Rendezvous JewelBox Theater,Dance,Downtown,"Sunny, with a high near 77. Southwest wind around 5 mph."
Mikaela Davis,7/27/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 77. Southwest wind around 5 mph."
Stray Cats,7/27/2024,Chateau Ste. Michelle Winery,Music,East,"Sunny, with a high near 80. West southwest wind around 5 mph."
Twang Junkies,7/27/2024,Slim's Last Chance,Music,South Seattle,"Sunny, with a high near 80. West southwest wind 1 to 5 mph."
Victor Andy Castillo Lazo,7/27/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 79. West southwest wind around 5 mph."
Voodoo Death Gun,7/27/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 79. Southwest wind 2 to 6 mph."
Wax Thematique 10th Anniversary,7/27/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 79. West southwest wind around 5 mph."
Jeezy,7/28/2024,The Neptune Theatre,Music,University District,"Mostly cloudy, with a high near 74. South wind around 8 mph."
