Name,Date,Location,Type,Region,Weather
Lamarr Family Values,12/22/2024,High Dive,Music,Fremont / Ballard,"Cloudy, with a low around 44. East southeast wind around 6 mph."
McTuff Special,12/22/2024,Nectar Lounge,Music,Fremont / Ballard,"Cloudy, with a low around 44. Southeast wind around 5 mph."
Seattle Seahawks vs. Minnesota Vikings,12/22/2024,Lumen Field,Sports,Pioneer Square,"Cloudy, with a low around 45. Southeast wind around 5 mph."
A Festival of Lessons and Carols,12/23/2024,Benaroya Hall,Music,Downtown,"Rain likely after 4pm. Mostly sunny, with a high near 53. Southeast wind 5 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Home for the Holidays,12/23/2024,The Royal Room,Music,South Seattle,"Rain likely after 4pm. Mostly sunny, with a high near 53. Southeast wind 5 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Joe Casalini Trio,12/27/2024,The Royal Room,Music,South Seattle,"Rain. Cloudy, with a high near 49."
Fruit Juice,12/28/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Mostly cloudy, with a high near 50."
Queen Mother and The Little Lies,12/28/2024,Neumos,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 51."
