Name,Date,Location,Type,Region,Weather
Debi Tirar Mas Fiestas,7/5/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 74. Southwest wind 2 to 6 mph."
Mambo Cadillac,7/5/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 71. Southwest wind 3 to 8 mph."
Miraco,7/5/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 74. West southwest wind 2 to 6 mph."
Profanatica,7/5/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 74. West southwest wind 2 to 6 mph."
SaVageThatOG,7/5/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 71. West southwest wind 2 to 6 mph."
Artis the Spoonman,7/6/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 75. North wind 2 to 8 mph."
Domkraft,7/6/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 76. North wind 2 to 8 mph."
Randy Weeks and The Silent Treatment,7/6/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 76. North wind 2 to 8 mph."
Ron Weinstein Trio,7/6/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 73. North northeast wind 2 to 10 mph."
Roughneck,7/6/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 73. North northeast wind 2 to 10 mph."
Out of Stock,7/8/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 84."
Robot Sunsets and Two Horses Too Many,7/8/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 81."
Aage Birch,7/9/2025,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 76."
Hot Rod,7/9/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 76."
Hurricane Dreamz,7/9/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 76."
Blacck and Loud Fest | Spotlight at Waterfront Park,7/10/2025,Waterfront Park,Music,Downtown,"Partly sunny, with a high near 75."
DJ HYO,7/10/2025,The Showbox,Music,Downtown,"Partly sunny, with a high near 77."
Emerald City Ragtime Band,7/10/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 74."
Ginjah,7/10/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 76."
Gniffke,7/10/2025,Tractor Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 75."
Rafe Pearlman and Friend,7/10/2025,The Triple Door,Music,Downtown,"Partly sunny, with a high near 74."
Swamp Wife,7/10/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 77."
A Love Electric,7/11/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 81."
Bobby Bare Jr.,7/11/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 78."
Carl Verheyen Band,7/11/2025,The Triple Door,Music,Downtown,"Sunny, with a high near 81."
Scott Yoder,7/11/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 82."
The Sandlot Special Event With The Cast,7/11/2025,The Neptune Theatre,Film & Media Arts,University District,"Sunny, with a high near 79."
Washed Out,7/11/2025,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 81."
