Name,Date,Location,Type,Region,Weather
Las Cafeteras,5/10/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny. High near 79, with temperatures falling to around 77 in the afternoon. North wind 5 to 8 mph."
Melanie Martinez,5/10/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Sunny. High near 80, with temperatures falling to around 78 in the afternoon. North wind 5 to 9 mph."
RUB,5/10/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 80. North northeast wind 5 to 8 mph."
Sarah Thornton,5/10/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 80. North northeast wind 5 to 8 mph."
Silvestre Dangond,5/10/2024,The Moore Theatre,Music,Downtown,"Sunny, with a high near 82. North wind 3 to 8 mph."
The Staxx Brothers – Mother’s Night,5/10/2024,The Royal Room,Music,South Seattle,"Sunny. High near 79, with temperatures falling to around 76 in the afternoon. North wind 6 to 10 mph."
Bitchslap,5/11/2024,Slim's Last Chance,Music,South Seattle,"Sunny, with a high near 79. North northwest wind 2 to 7 mph."
COM TRUISE,5/11/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 79. North northwest wind 3 to 7 mph."
Cumbia Night,5/11/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Edmonds Spring Fest,5/11/2024,Frances Anderson Center,Festivals & Special Events,North,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Festal: Spirit of Africa,5/11/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
From Rome with Love,5/11/2024,Town Hall Seattle,Music,Downtown,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
GayC/DC,5/11/2024,El Corazon,Music,Downtown,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Inzo,5/11/2024,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Lizzy McAlpine: The Older Tour,5/11/2024,WaMu Theater,Music,Pioneer Square,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Mad Science,5/11/2024,Fremont Abbey Arts Center,Theatre,Fremont / Ballard,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Mizu,5/11/2024,Chop Suey,Music,Capitol Hill / Central District,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Mother’s Day Weekend Celebration,5/11/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Nature Vibes – We Outside,5/11/2024,REI Seattle,Festivals & Special Events,Downtown,"Sunny, with a high near 79. North northwest wind 3 to 7 mph."
Nordic Innovation Summit 2024,5/11/2024,National Nordic Museum,Museums,Fremont / Ballard,"Sunny, with a high near 80. North northwest wind 2 to 7 mph."
Ray Skjelbred Trio,5/11/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Spirit Mother,5/11/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
SYAMFA Concerto Competition Winners in Concert,5/11/2024,Town Hall Seattle,Music,Downtown,"Sunny, with a high near 79. North northwest wind 2 to 6 mph."
The 502s,5/11/2024,The Neptune Theatre,Music,University District,"Sunny, with a high near 79. North northwest wind 2 to 7 mph."
The Righteous Mothers,5/11/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 78. North northwest wind 3 to 7 mph."
Warren Dunes,5/11/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 79. North northwest wind 2 to 7 mph."
X Ambassadors,5/11/2024,The Showbox,Music,Downtown,"Sunny, with a high near 78. North northwest wind 2 to 7 mph."
Asking Alexandria,5/12/2024,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 71."
Chime,5/12/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 70."
Coastal Cleanup,5/12/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 70."
Graceland Manila,5/12/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 72."
Klezmer Starts Here: Music from Philadelphia,5/12/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 71."
La Lom,5/12/2024,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 72."
Michelle Wolf,5/12/2024,The Neptune Theatre,Theatre,University District,"Mostly sunny, with a high near 71."
rei brown,5/12/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 71."
The Wilderness,5/12/2024,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 71."
Trophy Eyes,5/12/2024,El Corazon,Music,Downtown,"Mostly sunny, with a high near 71."
Alex Cuba,5/13/2024,Dimitriou's Jazz Alley,Music,Downtown,"Partly sunny, with a high near 65."
Anna Zivarts,5/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 65."
Jon McLaughlin,5/13/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,"Partly sunny, with a high near 65."
Mr. Brie,5/13/2024,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 65."
Sara Khor,5/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 65."
Source,5/13/2024,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 65."
The Go! Team,5/13/2024,Neumos,Music,Capitol Hill / Central District,"Partly sunny, with a high near 65."
Warpaint,5/13/2024,The Crocodile,Music,Downtown,"Partly sunny, with a high near 64."
Celeste Barber: Backup Dancer,5/14/2024,The Moore Theatre,Theatre,Downtown,"Mostly sunny, with a high near 66."
Donny Benet,5/14/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 66."
Dr. Cedric Habiyaremye,5/14/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 66."
Dustin Kensrue,5/14/2024,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 66."
King Ropes,5/14/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 67."
Knocked Loose,5/14/2024,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 67."
Liv Victorino,5/14/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 66."
LOONY,5/14/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 66."
Seattle Storm vs Minnesota Lynx,5/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Mostly sunny, with a high near 66."
Steven Pinker,5/14/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 66."
Striker,5/14/2024,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 66."
Summerdrive,5/14/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 66."
Tomorrow x Together,5/14/2024,Tacoma Dome,Music,South,"Mostly sunny, with a high near 67."
Tony McManus,5/14/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 66."
Zoe Schlanger,5/14/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 67."
Attila and Born of Osiris,5/15/2024,The Showbox,Music,Downtown,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Celtic Woman,5/15/2024,The Paramount Theatre,Music,Downtown,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Charlotte Day Wilson,5/15/2024,Neumos,Music,Capitol Hill / Central District,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 68."
Christopher O’Riley,5/15/2024,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Dub Lounge International,5/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Malcolm Todd,5/15/2024,The Crocodile,Music,Downtown,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 66."
Map of the Woulds,5/15/2024,Sunset Tavern,Music,Fremont / Ballard,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Natalie Foster with Angela Garbes,5/15/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Renee Watson,5/15/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
Sematary and The Haunted Mound,5/15/2024,Showbox SoDo,Music,Pioneer Square,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
The Lords of Altamont,5/15/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
The Rolling Stones,5/15/2024,Lumen Field,Music,Pioneer Square,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 66."
Thee Sinseers and The Altons,5/15/2024,Nectar Lounge,Music,Fremont / Ballard,"A slight chance of rain showers before 5pm, then a slight chance of rain. Partly sunny, with a high near 67."
