Name,Date,Location,Type,Region,Weather
24kGoldn,5/9/2024,Chop Suey,Music,Capitol Hill / Central District,"Sunny, with a high near 76. North wind 6 to 10 mph."
Aaron May,5/9/2024,The Neptune Theatre,Music,University District,"Sunny, with a high near 73. North wind 7 to 13 mph."
Aryana Leon,5/9/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 75. North wind 6 to 10 mph."
Ben Thomas Tango Project,5/9/2024,The Royal Room,Music,South Seattle,"Sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind 6 to 10 mph."
Funky Titanics,5/9/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 70. North wind 6 to 12 mph."
Hunter Hayes,5/9/2024,The Showbox,Music,Downtown,"Sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind 6 to 12 mph."
June Carbone and Nancy Levit,5/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 76. North wind 6 to 10 mph."
Kollar Lecture in American Art: Jennifer Greenhill,5/9/2024,Henry Art Gallery,Museums,University District,"Sunny, with a high near 73. North northeast wind 7 to 12 mph."
Noah Gundersen and His Band,5/9/2024,The Crocodile,Music,Downtown,"Sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind 6 to 12 mph."
Northwest Terror Fest,5/9/2024,Neumos,Music,Capitol Hill / Central District,"Sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind 6 to 12 mph."
Pailin Chongchitnant,5/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind 6 to 12 mph."
Replay Matinee: Preet Bharara,5/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind 7 to 10 mph."
RL Heyer,5/9/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 73. North northeast wind 6 to 12 mph."
The Fall of Troy,5/9/2024,El Corazon,Music,Downtown,"Sunny. High near 72, with temperatures falling to around 70 in the afternoon. North wind 7 to 13 mph."
The Stinkfoot Orchestra,5/9/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 76. North wind 6 to 10 mph."
Becky Robinson,5/10/2024,The Neptune Theatre,Theatre,University District,"Sunny, with a high near 76. North wind 3 to 9 mph."
Beth Nielsen Chapman,5/10/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 80. North wind 5 to 8 mph."
Electric Six,5/10/2024,El Corazon,Music,Downtown,"Sunny, with a high near 76. North wind 3 to 9 mph."
Jesse McCartney,5/10/2024,The Showbox,Music,Downtown,"Sunny. High near 79, with temperatures falling to around 76 in the afternoon. North wind 6 to 10 mph."
Kinski,5/10/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny. High near 79, with temperatures falling to around 77 in the afternoon. North wind 5 to 8 mph."
Kyle: Smyle Live Again,5/10/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 77. North wind 5 to 9 mph."
