Name,Date,Location,Type,Region,Weather
Brian Posehn,3/16/2024,The Neptune Theatre,Theatre,University District,"Clear, with a low around 43. Northeast wind around 6 mph."
Heroes,3/16/2024,Town Hall Seattle,Music,Downtown,"Clear, with a low around 43. Northeast wind around 6 mph."
I Sing the Salmon Home,3/16/2024,Town Hall Seattle,Music,Downtown,"Sunny, with a high near 68. Northwest wind 3 to 7 mph."
Matt Hansen,3/16/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 68. Northwest wind 3 to 7 mph."
Oneus,3/16/2024,The Moore Theatre,Music,Downtown,"Sunny, with a high near 68. West northwest wind 3 to 8 mph."
Ricky Montgomery,3/16/2024,The Showbox,Music,Downtown,"Sunny, with a high near 68. West northwest wind 3 to 8 mph."
Seattle Classic Guitar Society presents Benjamin Verdery,3/16/2024,Benaroya Hall,Music,Downtown,"Clear. Low around 43, with temperatures rising to around 45 overnight. Northeast wind around 7 mph."
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Sunny, with a high near 69. North northwest wind 2 to 8 mph."
Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square,"Sunny, with a high near 68. Northwest wind 2 to 6 mph."
Taste Washington: The Seminars,3/16/2024,"Seattle, WA",Festivals & Special Events,Downtown,"Sunny, with a high near 69. West northwest wind 3 to 7 mph."
Warren Zeiders,3/16/2024,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 68. Northwest wind 2 to 6 mph."
BAS,3/17/2024,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 67. South southwest wind around 7 mph."
Brad Parsons,3/17/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 67. Southwest wind around 6 mph."
Journeys,3/17/2024,Town Hall Seattle,Music,Downtown,"Sunny. High near 69, with temperatures falling to around 67 in the afternoon. South southwest wind around 6 mph."
