Name,Date,Location,Type,Region,Weather
The Young Fresh Fellows with The Tripwires,4/24/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 73."
Warren Haynes Band,4/24/2025,The Neptune Theatre,Music,University District,"Sunny, with a high near 70."
Bug Hunter and The Narcissist Cookbook,4/25/2025,High Dive,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 60."
Durand Bernarr,4/25/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 60."
Ha*Ash,4/25/2025,The Moore Theatre,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 60."
Mogwai,4/25/2025,The Showbox,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 60."
"Seattle Cabaret Festival Opening Night: Arnaldo!, The Love Markets & More!",4/25/2025,The Triple Door,Music,Downtown,"A chance of rain. Partly sunny, with a high near 60."
Smino,4/25/2025,Showbox SoDo,Music,Pioneer Square,"A chance of rain. Mostly cloudy, with a high near 58."
Talib Kweli,4/25/2025,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 58."
The Young Fresh Fellows with Girl Trouble,4/25/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 60."
Wonder Women of Country,4/25/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 60."
Austin Millz,4/26/2025,The Showbox,Music,Downtown,"A chance of rain. Partly sunny, with a high near 58."
Dawes,4/26/2025,The Neptune Theatre,Music,University District,"A chance of rain. Partly sunny, with a high near 56."
Dead Bars,4/26/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 56."
Fame on Fire,4/26/2025,El Corazon,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 57."
Flamy Grant: Hell or Highwater Tour,4/26/2025,The Royal Room,Music,South Seattle,"A chance of rain. Partly sunny, with a high near 57."
Liquid Stranger,4/26/2025,WaMu Theater,Music,Pioneer Square,"A chance of rain. Partly sunny, with a high near 56."
Magenta Wave,4/26/2025,High Dive,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 57."
Memphis May Fire,4/26/2025,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 57."
Ollella: An Album Release Celebration,4/26/2025,Town Hall Seattle,Music,Downtown,"A chance of rain. Partly sunny, with a high near 57."
Poetry Corners LIVE,4/26/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of rain. Partly sunny, with a high near 57."
The Cave Singers,4/26/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 57."
The Devil Wears Prada with ERRA,4/26/2025,Showbox SoDo,Music,Pioneer Square,"A chance of rain. Partly sunny, with a high near 56."
The Funk Hunters,4/26/2025,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 57."
Torin Frost and the Patterns of Saturn,4/26/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain. Partly sunny, with a high near 57."
Annie Eastwood,4/27/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain. Partly sunny, with a high near 58."
Big Dirt,4/27/2025,Sunset Tavern,Music,Fremont / Ballard,"A slight chance of rain. Partly sunny, with a high near 59."
Electric Circus,4/27/2025,The Royal Room,Music,South Seattle,"A slight chance of rain. Partly sunny, with a high near 59."
Freddie & Kunal in Concert,4/27/2025,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,"A slight chance of rain. Partly sunny, with a high near 59."
Sarah and the Safe Word,4/27/2025,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain. Partly sunny, with a high near 59."
Seize Fate by the Throat,4/27/2025,Town Hall Seattle,Music,Downtown,"A slight chance of rain. Partly sunny, with a high near 59."
Seize Fate by the Throat,4/27/2025,Town Hall Seattle,Music,Downtown,"A chance of rain. Partly sunny, with a high near 58."
Soleado,4/27/2025,High Dive,Music,Fremont / Ballard,"A slight chance of rain. Partly sunny, with a high near 59."
YHWH Nailgun,4/27/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 59."
Ziwe’s America,4/27/2025,The Neptune Theatre,Theatre,University District,"A chance of rain. Partly sunny, with a high near 58."
