Name,Date,Location,Type,Region,Weather
Amanda Knox with Chris Ballew,4/21/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Partly sunny, with a high near 56. South southwest wind around 5 mph."
Castle,4/21/2025,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 57. Southwest wind around 6 mph."
Ichiko Aoba,4/21/2025,The Moore Theatre,Music,Downtown,"Mostly sunny, with a high near 56. Southwest wind around 6 mph."
lavenderhayez,4/21/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 57. Southwest wind around 3 mph."
Scott Thompson is Buddy Cole,4/21/2025,The Neptune Theatre,Theatre,University District,"Partly sunny, with a high near 57. Southwest wind around 3 mph."
Big Tooth,4/22/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 60. North wind 2 to 7 mph."
Brooke Williams with Lyanda Lynn Haupt,4/22/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 59. North northeast wind 2 to 7 mph."
Cloud Nothings,4/22/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 60. North wind 2 to 7 mph."
Kind Eyes,4/22/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 60. North wind 1 to 6 mph."
Leprous,4/22/2025,The Neptune Theatre,Music,University District,"Sunny, with a high near 59. North northeast wind 2 to 8 mph."
Neil Hamburger,4/22/2025,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 60. North wind 2 to 7 mph."
Papooz,4/22/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 58. North northeast wind 2 to 9 mph."
Wave Function,4/22/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 60. North wind 2 to 7 mph."
Candlelight Spring,4/23/2025,Town Hall Seattle,Music,Downtown,"Sunny, with a high near 62. North wind 1 to 8 mph."
CEZA,4/23/2025,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 64. North northeast wind 1 to 6 mph."
Kevin Sun,4/23/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 63. North wind 1 to 7 mph."
L.A. Witch,4/23/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 61. North wind 2 to 9 mph."
Mettle Lark,4/23/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 64. North wind 1 to 6 mph."
Pop Evil,4/23/2025,The Neptune Theatre,Music,University District,"Sunny, with a high near 63. North wind 1 to 7 mph."
Saint Jhn,4/23/2025,Showbox SoDo,Music,Pioneer Square,"Sunny, with a high near 62. North wind 1 to 6 mph."
The Seen,4/23/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 63. North wind 2 to 8 mph."
The Wrecks,4/23/2025,The Showbox,Music,Downtown,"Sunny, with a high near 62. North wind 1 to 8 mph."
Transcend,4/23/2025,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 63. North wind 2 to 7 mph."
Vauhini Vara,4/23/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Sunny, with a high near 62. North wind 1 to 6 mph."
Vibe Village,4/23/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 63. North wind 2 to 8 mph."
2025 Smash Benefit,4/24/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 72."
AJ Lee and Blue Summit,4/24/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 71."
Deafheaven,4/24/2025,The Showbox,Music,Downtown,"Sunny, with a high near 70."
DNCR,4/24/2025,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 70."
Jerry’s Middle Finger,4/24/2025,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 72."
Katherine Van Bebber,4/24/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 72."
Laura Jane Grace and The Mississippi Medicals,4/24/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 70."
Lewerentz Divine Darkness Film Screening,4/24/2025,National Nordic Museum,Museums,Fremont / Ballard,"Sunny, with a high near 73."
Nicholas Krolak,4/24/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 71."
Tarik Abouzied,4/24/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 70."
