Name,Date,Location,Type,Region,Weather
Between The Buried And Me,10/13/2025,The Crocodile,Music,Downtown,"A chance of rain showers before 5am. Mostly cloudy, with a low around 45. North wind around 8 mph. Chance of precipitation is 30%."
Durry,10/13/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers before 5am. Mostly cloudy, with a low around 45. North wind around 8 mph. Chance of precipitation is 30%."
Wombo,10/13/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 58. North wind around 12 mph."
Balu Brigada,10/14/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 58. North wind 7 to 10 mph."
Bilal,10/14/2025,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 59. North wind 6 to 9 mph."
Emily Baker-White,10/14/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 58. North wind around 12 mph."
Kendall Lujan,10/14/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 59. North wind 6 to 9 mph."
Mating Ritual,10/14/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 58. North wind 6 to 9 mph."
Signs of the Swarm,10/14/2025,El Corazon,Music,Downtown,"Sunny. High near 60, with temperatures falling to around 58 in the afternoon. North northeast wind around 8 mph."
The Paradise Drifters with The Wayside,10/14/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 59. North wind 6 to 9 mph."
Ty Segall,10/14/2025,Neumos,Music,Capitol Hill / Central District,"Sunny, with a high near 58. North wind 6 to 10 mph."
Valery Meladze,10/14/2025,The Moore Theatre,Music,Downtown,"Sunny, with a high near 58. North wind around 12 mph."
Chatham Rabbits,10/15/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 63."
Cr1tter,10/15/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 62. South wind around 3 mph."
Oliver Hazard and The Last Revel: Head West,10/15/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 62. South southwest wind around 3 mph."
The Spice Box,10/15/2025,The Royal Room,Music,South Seattle,"Sunny, with a high near 61."
Glass Spells,10/16/2025,El Corazon,Music,Downtown,"A chance of rain showers after 5pm. Partly sunny, with a high near 59."
In the Spirit of Right and Respectful Relations,10/16/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers after 5pm. Partly sunny, with a high near 59."
Odetari,10/16/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers after 5pm. Partly sunny, with a high near 59."
Frankie Cosmos,10/17/2025,The Crocodile,Music,Downtown,"Rain showers likely. Partly sunny, with a high near 58."
Gibraltar,10/17/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 58."
IAMX,10/17/2025,El Corazon,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 59."
Thomas Marriott,10/17/2025,Town Hall Seattle,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 58."
Bangers Before Bed,10/18/2025,Nectar Lounge,Music,Fremont / Ballard,"Rain showers likely. Mostly cloudy, with a high near 56."
Batbox,10/18/2025,Sunset Tavern,Music,Fremont / Ballard,"Rain showers likely. Mostly cloudy, with a high near 59."
Better Not Not Dance,10/18/2025,The Royal Room,Dance,South Seattle,"Rain showers likely. Mostly cloudy, with a high near 58."
Big Bite,10/18/2025,Neumos,Music,Capitol Hill / Central District,"Rain showers likely. Mostly cloudy, with a high near 58."
Boyish,10/18/2025,Barboza,Music,Capitol Hill / Central District,"Rain showers likely. Mostly cloudy, with a high near 58."
Festal: Diwali – Lights of India,10/18/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Rain showers likely. Mostly cloudy, with a high near 57."
Fox Lake,10/18/2025,Funhouse,Music,Capitol Hill / Central District,"Rain showers likely. Mostly cloudy, with a high near 58."
Global Rhythms: Damir Imamovic,10/18/2025,Town Hall Seattle,Music,Downtown,"Rain showers likely. Mostly cloudy, with a high near 57."
Jason D. Williams,10/18/2025,El Corazon,Music,Downtown,"Rain showers likely. Mostly cloudy, with a high near 58."
Matt Maltese – Tour For You My Whole Life,10/19/2025,The Moore Theatre,Music,Downtown,"Rain showers. Mostly cloudy, with a high near 59."
Right Now with John Goblikon Halloween Show,10/19/2025,The Crocodile,Theatre,Downtown,"Rain showers. Mostly cloudy, with a high near 58."
Roman Goron,10/19/2025,Town Hall Seattle,Music,Downtown,"Rain showers. Mostly cloudy, with a high near 57."
Strung Out,10/19/2025,El Corazon,Music,Downtown,"Rain showers. Mostly cloudy, with a high near 58."
The Man Who Saves the World,10/19/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Rain showers. Mostly cloudy, with a high near 59."
